Type,NrFeat,Model,Feature,mean,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25
Weight,16,1,phi.proc,NA,-0.01707837,-0.03591851,-0.05592656,-0.05485401,-0.03407516,-0.03385955,-0.01520465,-0.04082373,-0.03588374,-0.03139901,-0.06772365,-0.0117293,-0.004774636,-0.01434852,-0.008205831,-0.01533585,-0.1058405,-0.06169036,-0.005038325,-0.008423312,0.1873066,-0.003730374,-8.266553e-06,-7.046987e-06,2.856177e-05
Weight,16,1,phi.startTime,NA,0,0.02652457,0.01848401,0.03268008,0.01321773,0.01038522,0.004019775,0.0153896,0.0117,0.01113473,0.02133372,0.005619122,0.000956456,0.004276864,0.002030898,0.004739893,0.04274175,0.02346024,0.000970257,0.001073054,-0.1367068,-0.03197186,-0.005325001,-0.004884312,-0.003833232
Weight,16,1,phi.endTime,NA,-0.01707837,-0.009393941,-0.03744255,-0.02217393,-0.02085742,-0.02347433,-0.01118487,-0.02543413,-0.02418374,-0.02026428,-0.04638993,-0.006110178,-0.00381818,-0.01007166,-0.006174932,-0.01059596,-0.06309879,-0.03823012,-0.004068068,-0.007350258,0.05059981,-0.03570223,-0.005333267,-0.004891359,-0.00380467
Weight,16,1,phi.jobOps,NA,0,-0.00213135,0.000497503,-0.001281479,1.345524e-05,0,-0.01378984,0.0005672552,0.0008195531,0.0007358299,0,-0.001199985,0.001352137,-0.0001777755,-3.612261e-05,0,-0.002719471,-0.0007390564,0.0002145262,3.896297e-06,0,0.0002190607,-0.0002651163,-8.667801e-05,-7.374288e-05
Weight,16,1,phi.arrivalTime,NA,0,0.000558721,0.008883514,0.03137589,0.01016783,0,5.726729e-05,0.006563866,0.004163228,0.005435508,0,0.004400051,0.00100056,0.003586813,0.002288275,0,0.0247752,0.01332821,1.041852e-05,-0.0001489282,0,-0.03367037,-0.01681503,-0.009802409,-0.007589745
Weight,16,1,phi.totproc,NA,0.01360008,0.008891127,0.01614315,0.0289147,0.01851625,0.01809918,0.02541413,0.01937733,0.03935793,0.0250929,0.02084442,-0.00145194,0.03489896,0.0150535,0.01282108,0.02290336,0.05857109,0.05765963,0.04810646,0.0105525,0.03936002,0.0136867,0.0003654749,0.0001300085,7.556617e-05
Weight,16,1,phi.wait,NA,0,0.02596584,0.009600498,0.00130419,0.0030499,0.01038522,0.003962507,0.008825736,0.007536771,0.005699218,0.02133372,0.001219071,-4.410363e-05,0.0006900513,-0.0002573765,0.004739893,0.01796655,0.01013204,0.0009598385,0.001221982,-0.1367068,0.001698507,0.01149003,0.004918097,0.003756513
Weight,16,1,phi.mac,NA,-0.05561998,-0.04467635,-0.03407791,-0.007388258,0.004610709,-0.01035173,-0.01817691,-0.02329646,-0.01673462,-0.01320858,-0.1081891,-0.01258433,0.004534665,-0.0100169,-0.009384821,-0.1232958,-0.2443581,0.002391502,0.06414109,0.002155979,0.00207036,-6.146222e-05,5.457103e-05,2.313747e-05,-1.645729e-06
Weight,16,1,phi.macOps,NA,0,0.001397719,0.0005755851,0.002150948,0.0007406908,0,0.02605881,0.003488843,0.000839997,0.0003257551,0,-7.574726e-05,-0.0007529149,-5.842079e-05,-0.0001352816,0,-0.01444685,0.00329049,-0.001956903,0.0001007644,0,3.716322e-05,1.051554e-05,1.596662e-05,1.667475e-05
Weight,16,1,phi.macfree,NA,-0.01707837,-0.009393941,0.007405397,-0.003840755,-0.005660114,-0.01971999,-0.01365132,1.855653e-05,-0.005414315,-0.004408555,0.01479681,-0.01523096,-0.0403188,-0.02994817,-0.02952356,-0.03541372,0.007895891,0.002614266,-0.02080497,-0.005404577,0.2653231,-0.01100324,0.002363864,-0.001233552,-0.001369032
Weight,16,1,phi.makespan,NA,-0.01707837,-0.03009176,-0.01078298,-0.05210558,-0.01135207,0,0.1698105,0.009153481,0.006473736,-0.001827877,0.05406637,-0.00662414,-0.01137632,-0.001610301,-0.01723468,0.008856309,-0.01621253,-0.01127237,0.001637714,-0.01249041,-1.055418,5.239201e-05,3.527851e-05,-0.0004263065,-0.0005109561
Weight,16,1,phi.slotReduced,NA,0,-0.000558721,0.0008430593,0.01227925,0.0009125013,0.0006874187,-0.002827239,0.00172832,-0.001653485,-0.002325183,-0.004810555,0.004516263,-0.0004645137,-0.00172456,-0.001449421,0.00854848,0.009353096,0.00392718,0.00194124,-0.003412508,-0.1478351,0.01616556,0.0005151037,0.001359541,0.001371684
Weight,16,1,phi.slots,NA,0,0.000558721,0.00597047,-0.007123219,0.008015674,0.02464447,0.01859716,0.002534699,0.008582278,0.006307927,-0.01102963,0.01524843,0.04282454,0.03251318,0.03180022,0.03997727,-0.005235078,-9.097649e-05,0.02266217,0.007971017,0.07011092,-0.01173429,0.001734551,-0.001976101,-0.00225091
Weight,16,1,phi.slotsTotal,NA,0,0.000558721,-0.0008430593,-0.01227925,-0.0009125013,-0.0006874187,0.002827239,-0.00172832,0.001653485,0.002325183,0.004810555,-0.004516263,0.0004645137,0.00172456,0.001449421,-0.00854848,-0.009353096,-0.00392718,-0.00194124,0.003412508,0.1478351,-0.01616556,-0.0005151037,-0.001359541,-0.001371684
Weight,16,1,phi.wrmMac,NA,0.009649433,0.01783082,0.01259488,0.02309627,0.002282873,0.01080852,-0.01501634,0.009107363,0.00113491,-0.002317941,0.03232645,-0.008883507,-0.02890169,-0.02143335,-0.02787666,-0.01118553,0.009157606,0.006080598,-0.01260267,-0.008201319,-0.01999765,-0.002958977,-0.0005693496,-0.0008332176,-0.0008475483
Weight,16,1,phi.wrmJob,NA,0.01360008,0.008332406,0.007259637,-0.00246119,0.008348413,0.01809918,0.003289574,0.005831563,0.00205695,0.006952734,0.02084442,0.02347138,0.009155453,0.01080889,0.007265132,0.02290336,0.02714096,0.01297006,0.004191335,0.003638401,0.03936002,-0.007964206,0.01374134,0.004502513,0.003854587
Training.Accuracy,16,1,NA,73.72,55.54,65.36,65.67,65.46,69.32,60.26,62.17,66.72,67.62,69.07,58.5,66.94,70.39,69.87,77.76,63.19,76.18,81.59,79.05,85.05,71.25,96,100,100,100
Validation.Accuracy,16,1,NA,74,49.57,64.88,66.47,66.25,68.69,60.51,64.44,63.37,69.23,67.78,60.12,62.96,67.25,68.71,80.28,67.74,78.95,87.5,86.79,93.98,80,90.91,90.91,100,100
