PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,7,0,-34,-1,-24,-4,-28,2,116,125,-120,4,-2,-28,-28,0,-268,172,268,110,-87,0
1,7,0,34,1,24,4,28,-2,-116,-125,120,-4,2,28,28,0,268,-172,-268,-110,87,0
1,7,0,-34,-1,-28,-176,-204,-1,-152,366,-24,2,-1,-204,-34,0,0,-96,0,-164,422,0
1,7,0,34,1,28,176,204,1,152,-366,24,-2,1,204,34,0,0,96,0,164,-422,0
1,7,0,-34,-1,2,-176,-174,0,-56,59,-120,2,-1,-174,-34,0,0,-96,0,-164,19,0
1,7,0,34,1,-2,176,174,0,56,-59,120,-2,1,174,34,0,0,96,0,164,-19,0
1,7,0,-34,-1,-19,-176,-195,-1,-152,38,-24,2,-1,-195,-34,0,0,-96,0,-164,94,0
1,7,0,34,1,19,176,195,1,152,-38,24,-2,1,195,34,0,0,96,0,164,-94,0
1,7,1,-34,-1,14,0,14,1,120,165,-120,2,-1,14,14,0,-176,80,176,-164,45,0
1,7,1,34,1,-14,0,-14,-1,-120,-165,120,-2,1,-14,-14,0,176,-80,-176,164,-45,0
1,8,0,-34,-1,-24,-4,-28,2,116,125,-120,4,-2,-28,0,0,-268,172,268,110,-87,0
1,8,0,34,1,24,4,28,-2,-116,-125,120,-4,2,28,0,0,268,-172,-268,-110,87,0
1,8,0,-34,-1,-28,-176,-204,-1,-152,366,-24,2,0,14,0,0,6,74,-6,-212,422,0
1,8,0,34,1,28,176,204,1,152,-366,24,-2,0,-14,0,0,-6,-74,6,212,-422,0
1,8,0,-34,-1,2,-176,-174,0,-56,59,-120,2,0,14,0,0,36,44,-36,-212,19,0
1,8,0,34,1,-2,176,174,0,56,-59,120,-2,0,-14,0,0,-36,-44,36,212,-19,0
1,8,0,-34,-1,-19,-176,-195,-1,-152,38,-24,2,0,14,0,0,15,65,-15,-212,94,0
1,8,0,34,1,19,176,195,1,152,-38,24,-2,0,-14,0,0,-15,-65,15,212,-94,0
1,8,1,-34,-1,65,48,113,2,168,165,-120,4,-2,113,99,0,-320,224,320,110,-3,0
1,8,1,34,1,-65,-48,-113,-2,-168,-165,120,-4,2,-113,-99,0,320,-224,-320,-110,3,0
1,9,0,-34,-1,-24,-4,-28,2,116,125,-120,4,-1,113,0,0,10,214,-10,11,-87,0
1,9,0,34,1,24,4,28,-2,-116,-125,120,-4,1,-113,0,0,-10,-214,10,-11,87,0
1,9,0,-34,-1,-28,-176,-204,-1,-152,366,-24,2,0,14,0,0,6,74,-6,-212,422,0
1,9,0,34,1,28,176,204,1,152,-366,24,-2,0,-14,0,0,-6,-74,6,212,-422,0
1,9,1,-34,-1,2,-176,-174,0,-56,59,-120,2,0,14,0,0,36,44,-36,-212,19,0
1,9,1,34,1,-2,176,174,0,56,-59,120,-2,0,-14,0,0,-36,-44,36,212,-19,0
1,9,0,-34,-1,-19,-176,-195,-1,-152,38,-24,2,0,14,0,0,15,65,-15,-212,94,0
1,9,0,34,1,19,176,195,1,152,-38,24,-2,0,-14,0,0,-15,-65,15,212,-94,0
1,9,0,-34,-1,-10,147,137,3,267,165,-120,1,0,137,24,0,-151,151,151,12,-102,0
1,9,0,34,1,10,-147,-137,-3,-267,-165,120,-1,0,-137,-24,0,151,-151,-151,-12,102,0
1,10,0,-20,-1,-10,-4,-14,1,136,66,-140,4,-1,127,0,0,10,214,-10,11,-70,0
1,10,0,20,1,10,4,14,-1,-136,-66,140,-4,1,-127,0,0,-10,-214,10,-11,70,0
