PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0.0.0,1,828,1,92,0,92,1,0,367,0,0,1,92,92,1,0,0,0,553,367,2230
1,0,1.0.0,0,834,3,97,0,97,1,0,369,0,0,1,97,97,1,0,0,0,553,369,2230
1,0,2.0.0,0,826,0,89,0,89,1,0,369,0,0,1,89,89,1,0,0,0,553,369,2230
1,0,3.0.0,0,829,2,92,0,92,1,0,367,0,0,1,92,92,1,0,0,0,553,367,2230
1,0,4.0.0,0,826,0,90,0,90,1,0,370,0,0,1,90,90,1,0,0,0,553,370,2230
1,0,5.0.0,0,826,0,93,0,93,1,0,388,0,0,1,93,93,1,0,0,0,553,388,2230
1,1,0.1.92,1,828,0,54,92,146,2,92,367,0,1,1,146,146,2,-92,92,92,343,275,2138
1,1,1.0.92,0,838,2,97,92,189,1,0,369,92,0,2,189,189,2,0,0,0,461,369,2138
1,1,2.0.92,0,828,0,89,92,181,1,0,369,92,0,2,181,181,2,0,0,0,461,369,2138
1,1,3.0.92,0,833,1,92,92,184,1,0,367,92,0,2,184,184,2,0,0,0,461,367,2138
1,1,4.0.92,0,828,0,90,92,182,1,0,370,92,0,2,182,182,2,0,0,0,461,370,2138
1,1,5.0.92,0,828,0,93,92,185,1,0,388,92,0,2,185,185,2,0,0,0,461,388,2138
1,2,0.2.146,1,828,0,69,146,215,3,146,367,0,2,1,215,215,3,-146,146,238,413,221,2084
1,2,1.0.92,0,838,2,97,92,189,1,0,369,92,0,2,189,189,3,0,0,92,461,369,2084
1,2,2.0.92,0,828,0,89,92,181,1,0,369,92,0,2,181,181,3,0,0,92,461,369,2084
1,2,3.0.92,0,833,1,92,92,184,1,0,367,92,0,2,184,184,3,0,0,92,461,367,2084
1,2,4.0.92,0,828,0,90,92,182,1,0,370,92,0,2,182,182,3,0,0,92,461,370,2084
1,2,5.0.92,0,828,0,93,92,185,1,0,388,92,0,2,185,185,3,0,0,92,461,388,2084
1,3,0.3.215,1,828,0,89,215,304,4,215,367,0,3,1,304,304,4,-215,215,453,531,152,2015
1,3,1.0.92,0,838,2,97,92,189,1,0,369,92,0,2,189,215,4,0,0,238,461,369,2015
1,3,2.0.92,0,828,0,89,92,181,1,0,369,92,0,2,181,215,4,0,0,238,461,369,2015
1,3,3.0.92,0,833,1,92,92,184,1,0,367,92,0,2,184,215,4,0,0,238,461,367,2015
1,3,4.0.92,0,828,0,90,92,182,1,0,370,92,0,2,182,215,4,0,0,238,461,370,2015
1,3,5.0.92,0,828,0,93,92,185,1,0,388,92,0,2,185,215,4,0,0,238,461,388,2015
1,4,0.4.304,1,828,0,63,304,367,5,304,367,0,4,1,367,367,5,-304,304,757,390,63,1926
1,4,1.0.92,0,838,2,97,92,189,1,0,369,92,0,2,189,304,5,0,0,453,461,369,1926
1,4,2.0.92,0,828,0,89,92,181,1,0,369,92,0,2,181,304,5,0,0,453,461,369,1926
1,4,3.0.92,0,833,1,92,92,184,1,0,367,92,0,2,184,304,5,0,0,453,461,367,1926
1,4,4.0.92,0,828,0,90,92,182,1,0,370,92,0,2,182,304,5,0,0,453,461,370,1926
1,4,5.0.92,0,828,0,93,92,185,1,0,388,92,0,2,185,304,5,0,0,453,461,388,1926
1,5,1.0.92,0,838,2,97,92,189,1,0,369,92,0,2,189,367,6,0,0,757,461,369,1863
1,5,2.0.92,0,828,0,89,92,181,1,0,369,92,0,2,181,367,6,0,0,757,461,369,1863
1,5,3.0.92,1,833,1,92,92,184,1,0,367,92,0,2,184,367,6,0,0,757,461,367,1863
1,5,4.0.92,0,828,0,90,92,182,1,0,370,92,0,2,182,367,6,0,0,757,461,370,1863
1,5,5.0.92,0,828,0,93,92,185,1,0,388,92,0,2,185,367,6,0,0,757,461,388,1863
1,6,1.0.184,0,845,1,97,184,281,1,0,369,184,0,3,281,367,7,0,0,757,369,369,1771
1,6,2.0.184,0,833,0,89,184,273,1,0,369,184,0,3,273,367,7,0,0,757,369,369,1771
1,6,3.1.184,1,833,0,56,184,240,2,184,367,0,1,2,240,367,7,-38,130,795,289,275,1771
1,6,4.0.184,0,833,0,90,184,274,1,0,370,184,0,3,274,367,7,0,0,757,369,370,1771
1,6,5.0.184,0,833,0,93,184,277,1,0,388,184,0,3,277,367,7,0,0,757,369,388,1771
1,7,1.0.184,0,845,1,97,184,281,1,0,369,184,0,3,281,367,8,0,0,795,369,369,1715
1,7,2.0.184,0,833,0,89,184,273,1,0,369,184,0,3,273,367,8,0,0,795,369,369,1715
1,7,3.2.240,1,833,0,69,240,309,3,240,367,0,2,2,309,367,8,-25,171,820,344,219,1715
1,7,4.0.184,0,833,0,90,184,274,1,0,370,184,0,3,274,367,8,0,0,795,369,370,1715
1,7,5.0.184,0,833,0,93,184,277,1,0,388,184,0,3,277,367,8,0,0,795,369,388,1715
1,8,1.0.184,0,845,1,97,184,281,1,0,369,184,0,3,281,367,9,0,0,820,369,369,1646
1,8,2.0.184,0,833,0,89,184,273,1,0,369,184,0,3,273,367,9,0,0,820,369,369,1646
1,8,3.3.309,1,833,0,85,309,394,4,309,367,0,3,2,394,394,9,-5,220,825,442,150,1646
1,8,4.0.184,0,833,0,90,184,274,1,0,370,184,0,3,274,367,9,0,0,820,369,370,1646
1,8,5.0.184,0,833,0,93,184,277,1,0,388,184,0,3,277,367,9,0,0,820,369,388,1646
1,9,1.0.184,0,845,1,97,184,281,1,0,369,184,0,3,281,394,10,0,0,825,369,369,1561
1,9,2.0.184,0,833,0,89,184,273,1,0,369,184,0,3,273,394,10,0,0,825,369,369,1561
1,9,3.4.394,1,833,0,65,394,459,5,394,367,0,4,2,459,459,10,-27,331,852,327,65,1561
1,9,4.0.184,0,833,0,90,184,274,1,0,370,184,0,3,274,394,10,0,0,825,369,370,1561
1,9,5.0.184,0,833,0,93,184,277,1,0,388,184,0,3,277,394,10,0,0,825,369,388,1561
1,10,1.0.184,1,845,1,97,184,281,1,0,369,184,0,3,281,459,11,0,0,852,369,369,1496
1,10,2.0.184,0,833,0,89,184,273,1,0,369,184,0,3,273,459,11,0,0,852,369,369,1496
1,10,4.0.184,0,833,0,90,184,274,1,0,370,184,0,3,274,459,11,0,0,852,369,370,1496
1,10,5.0.184,0,833,0,93,184,277,1,0,388,184,0,3,277,459,11,0,0,852,369,388,1496
1,11,1.1.281,1,845,0,56,281,337,2,281,369,0,1,3,337,459,12,-41,171,893,233,272,1399
1,11,2.0.281,0,845,0,89,281,370,1,0,369,281,0,4,370,459,12,0,0,852,272,369,1399
1,11,4.0.281,0,845,0,90,281,371,1,0,370,281,0,4,371,459,12,0,0,852,272,370,1399
1,11,5.0.281,0,845,0,93,281,374,1,0,388,281,0,4,374,459,12,0,0,852,272,388,1399
1,12,1.2.337,1,845,0,64,337,401,3,337,369,0,2,3,401,459,13,-28,199,921,275,216,1343
1,12,2.0.281,0,845,0,89,281,370,1,0,369,281,0,4,370,459,13,0,0,893,272,369,1343
1,12,4.0.281,0,845,0,90,281,371,1,0,370,281,0,4,371,459,13,0,0,893,272,370,1343
1,12,5.0.281,0,845,0,93,281,374,1,0,388,281,0,4,374,459,13,0,0,893,272,388,1343
1,13,1.3.401,1,845,0,85,401,486,4,401,369,0,3,3,486,486,14,-7,227,928,357,152,1279
1,13,2.0.281,0,845,0,89,281,370,1,0,369,281,0,4,370,459,14,0,0,921,272,369,1279
1,13,4.0.281,0,845,0,90,281,371,1,0,370,281,0,4,371,459,14,0,0,921,272,370,1279
1,13,5.0.281,0,845,0,93,281,374,1,0,388,281,0,4,374,459,14,0,0,921,272,388,1279
1,14,1.4.486,1,845,0,67,486,553,5,486,369,0,4,3,553,553,15,-27,358,955,262,67,1194
1,14,2.0.281,0,845,0,89,281,370,1,0,369,281,0,4,370,486,15,0,0,928,272,369,1194
1,14,4.0.281,0,845,0,90,281,371,1,0,370,281,0,4,371,486,15,0,0,928,272,370,1194
1,14,5.0.281,0,845,0,93,281,374,1,0,388,281,0,4,374,486,15,0,0,928,272,388,1194
1,15,2.0.281,1,845,0,89,281,370,1,0,369,281,0,4,370,553,16,0,0,955,272,369,1127
1,15,4.0.281,0,845,0,90,281,371,1,0,370,281,0,4,371,553,16,0,0,955,272,370,1127
1,15,5.0.281,0,845,0,93,281,374,1,0,388,281,0,4,374,553,16,0,0,955,272,388,1127
1,16,2.1.370,1,845,0,60,370,430,2,370,369,0,1,4,430,553,17,-33,204,988,177,280,1038
1,16,4.0.370,0,848,1,90,370,460,1,0,370,370,0,5,460,553,17,0,0,955,183,370,1038
1,16,5.0.370,0,845,0,93,370,463,1,0,388,370,0,5,463,553,17,0,0,955,183,388,1038
1,17,2.2.430,1,845,0,67,430,497,3,430,369,0,2,4,497,553,18,-29,228,1017,211,220,978
1,17,4.0.370,0,848,1,90,370,460,1,0,370,370,0,5,460,553,18,0,0,988,183,370,978
1,17,5.0.370,0,845,0,93,370,463,1,0,388,370,0,5,463,553,18,0,0,988,183,388,978
1,18,2.3.497,1,845,0,89,497,586,4,497,369,0,3,4,586,586,19,-11,238,1028,272,153,911
1,18,4.0.370,0,848,1,90,370,460,1,0,370,370,0,5,460,553,19,0,0,1017,183,370,911
1,18,5.0.370,0,845,0,93,370,463,1,0,388,370,0,5,463,553,19,0,0,1017,183,388,911
1,19,2.4.586,1,845,0,64,586,650,5,586,369,0,4,4,650,650,20,-33,391,1061,195,64,822
1,19,4.0.370,0,848,1,90,370,460,1,0,370,370,0,5,460,586,20,0,0,1028,183,370,822
1,19,5.0.370,0,845,0,93,370,463,1,0,388,370,0,5,463,586,20,0,0,1028,183,388,822
1,20,4.0.370,1,848,1,90,370,460,1,0,370,370,0,5,460,650,21,0,0,1061,183,370,758
1,20,5.0.370,0,845,0,93,370,463,1,0,388,370,0,5,463,650,21,0,0,1061,183,388,758
1,21,4.1.460,1,848,0,55,460,515,2,460,370,0,1,5,515,650,22,-30,234,1091,117,280,668
1,21,5.0.460,0,848,0,93,460,553,1,0,388,460,0,6,553,650,22,0,0,1061,93,388,668
1,22,4.2.515,1,848,0,71,515,586,3,515,370,0,2,5,586,650,23,-18,246,1109,144,225,613
1,22,5.0.460,0,848,0,93,460,553,1,0,388,460,0,6,553,650,23,0,0,1091,93,388,613
