PID,Step,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,0,1,-17,-1,-15,50,-65,144,-43,-1,47,11
1,0,1,17,1,15,-50,65,-144,43,1,-47,-11
1,0,0,-17,-1,-15,46,-57,130,-33,-5,0,6
1,0,0,17,1,15,-46,57,-130,33,5,0,-6
1,0,0,-17,-1,0,83,-13,124,-29,-8,9,8
1,0,0,17,1,0,-83,13,-124,29,8,-9,-8
1,0,0,-24,-1,0,-110,-57,-212,-23,-35,-32,-5
1,0,0,24,1,0,110,57,212,23,35,32,5
1,0,0,-24,-1,-67,14,57,64,-48,-36,-34,8
1,0,0,24,1,67,-14,-57,-64,48,36,34,-8
1,1,0,-2,-1,0,-24,-47,-26,-2,-33,-146,-8
1,1,0,2,1,0,24,47,26,2,33,146,8
1,1,0,-2,-1,71,-13,-91,14,-2,-16,-134,-9
1,1,0,2,1,-71,13,91,-14,2,16,134,9
1,1,1,-2,-1,86,-120,-26,-173,19,-42,-163,-22
1,1,1,2,1,-86,120,26,173,-19,42,163,22
1,1,0,-2,-1,71,-2,-60,8,0,-23,-93,-7
1,1,0,2,1,-71,2,60,-8,0,23,93,7
1,1,0,-22,-1,-74,24,39,64,-58,5,122,25
1,1,0,22,1,74,-24,-39,-64,58,-5,-122,-25
1,2,0,-12,-1,-62,0,-21,-140,-12,-30,-20,-4
1,2,0,12,1,62,0,21,140,12,30,20,4
1,2,0,-12,-1,37,-18,19,-135,-3,-15,-12,-1
1,2,0,12,1,-37,18,-19,135,3,15,12,1
1,2,1,-12,-1,24,-13,13,-140,-10,-9,2,3
1,2,1,12,1,-24,13,-13,140,10,9,-2,-3
1,2,0,-7,-1,-1,1,-64,69,-10,-20,-22,-6
1,2,0,7,1,1,-1,64,-69,10,20,22,6
1,2,0,-18,-1,-8,-13,64,14,-29,12,42,14
1,2,0,18,1,8,13,-64,-14,29,-12,-42,-14
1,3,1,-3,-1,-88,0,-47,-96,-40,-13,19,7
1,3,1,3,1,88,0,47,96,40,13,-19,-7
1,3,0,-3,-1,-2,29,-7,-96,-31,10,76,10
1,3,0,3,1,2,-29,7,96,31,-10,-76,-10
1,3,0,-3,-1,-17,0,-6,-96,-36,1,7,3
1,3,0,3,1,17,0,6,96,36,-1,-7,-3
1,3,0,-6,-1,-15,1,-47,69,31,-15,-34,-6
1,3,0,6,1,15,-1,47,-69,-31,15,34,6
1,3,0,-28,-1,17,-92,47,-30,-36,-3,-6,4
1,3,0,28,1,-17,92,-47,30,36,3,6,-4
1,4,1,-3,-1,41,0,0,-96,-10,-20,-2,1
1,4,1,3,1,-41,0,0,96,10,20,2,-1
1,4,0,-3,-1,41,29,3,-96,-8,-10,17,8
1,4,0,3,1,-41,-29,-3,96,8,10,-17,-8
1,4,0,-3,-1,41,47,0,-98,-9,-4,38,8
1,4,0,3,1,-41,-47,0,98,9,4,-38,-8
1,4,0,-3,-1,41,0,56,-96,-10,-2,17,8
1,4,0,3,1,-41,0,-56,96,10,2,-17,-8
1,4,0,-6,-1,-48,1,-32,69,3,6,14,2
1,4,0,6,1,48,-1,32,-69,-3,-6,-14,-2
1,5,0,-3,-1,41,0,0,-96,-9,-15,26,4
1,5,0,3,1,-41,0,0,96,9,15,-26,-4
1,5,0,-3,-1,41,29,3,-96,-10,-10,43,0
1,5,0,3,1,-41,-29,-3,96,10,10,-43,0
1,5,0,-3,-1,41,0,0,-98,-10,-29,-3,-8
1,5,0,3,1,-41,0,0,98,10,29,3,8
1,5,1,-3,-1,41,0,56,-96,-12,-15,17,-1
1,5,1,3,1,-41,0,-56,96,12,15,-17,1
1,5,0,-6,-1,-48,1,15,69,3,6,-1,2
1,5,0,6,1,48,-1,-15,-69,-3,-6,1,-2
1,6,1,-12,-1,41,0,-56,-96,-18,-15,17,4
1,6,1,12,1,-41,0,56,96,18,15,-17,-4
1,6,1,-12,-1,-7,1,-29,-27,-10,-16,16,6
1,6,1,12,1,7,-1,29,27,10,16,-16,-6
1,6,0,-12,-1,41,127,-16,-96,-16,-12,43,10
1,6,0,12,1,-41,-127,16,96,16,12,-43,-10
1,6,0,-12,-1,41,0,0,-98,-18,-22,-2,-2
1,6,0,12,1,-41,0,0,98,18,22,2,2
1,6,0,-12,-1,41,0,0,-96,-20,-11,17,5
1,6,0,12,1,-41,0,0,96,20,11,-17,-5
1,7,0,-12,-1,41,0,0,-96,-12,-15,21,0
1,7,0,12,1,-41,0,0,96,12,15,-21,0
1,7,0,-12,-1,-7,1,15,-27,-12,-12,24,5
1,7,0,12,1,7,-1,-15,27,12,12,-24,-5
1,7,0,-12,-1,41,127,40,-96,-12,-8,65,11
1,7,0,12,1,-41,-127,-40,96,12,8,-65,-11
1,7,0,-12,-1,41,0,0,-98,-10,-30,0,-7
1,7,0,12,1,-41,0,0,98,10,30,0,7
1,7,1,-12,-1,41,0,0,-96,-10,-9,21,2
1,7,1,12,1,-41,0,0,96,10,9,-21,-2
1,8,0,-12,-1,41,0,0,-96,-12,-11,2,5
1,8,0,12,1,-41,0,0,96,12,11,-2,-5
1,8,0,-12,-1,-7,1,15,-27,-31,-10,9,10
1,8,0,12,1,7,-1,-15,27,31,10,-9,-10
1,8,0,-12,-1,41,127,40,-96,-10,-9,54,16
1,8,0,12,1,-41,-127,-40,96,10,9,-54,-16
1,8,0,-12,-1,41,0,0,-98,-12,-25,-11,-7
1,8,0,12,1,-41,0,0,98,12,25,11,7
1,8,1,-12,-1,41,0,0,-96,0,-2,-2,1
1,8,1,12,1,-41,0,0,96,0,2,2,-1
1,9,1,-12,-1,41,0,0,-96,-10,-4,43,5
1,9,1,12,1,-41,0,0,96,10,4,-43,-5
1,9,1,-12,-1,-7,1,15,-27,-10,-3,57,5
1,9,1,12,1,7,-1,-15,27,10,3,-57,-5
1,9,0,-12,-1,41,127,40,-96,-12,-13,17,10
1,9,0,12,1,-41,-127,-40,96,12,13,-17,-10
1,9,0,-12,-1,41,0,0,-98,-12,-24,-3,0
1,9,0,12,1,-41,0,0,98,12,24,3,0
1,9,0,-12,-1,41,0,0,-96,-10,-14,-3,6
1,9,0,12,1,-41,0,0,96,10,14,3,-6
1,10,0,-12,-1,41,127,40,-96,-12,-13,22,10
1,10,0,12,1,-41,-127,-40,96,12,13,-22,-10
1,10,0,-12,-1,-7,128,55,-27,-12,-13,21,11
1,10,0,12,1,7,-128,-55,27,12,13,-21,-11
1,10,0,-12,-1,41,0,0,-98,-10,-15,0,-1
1,10,0,12,1,-41,0,0,98,10,15,0,1
1,10,1,-12,-1,41,0,0,-96,-10,-2,54,6
1,10,1,12,1,-41,0,0,96,10,2,-54,-6
1,11,0,-12,-1,41,127,40,-96,-12,-14,22,5
1,11,0,12,1,-41,-127,-40,96,12,14,-22,-5
1,11,0,-12,-1,-7,128,55,-27,-12,-13,55,8
1,11,0,12,1,7,-128,-55,27,12,13,-55,-8
1,11,1,-12,-1,41,0,0,-98,-12,-26,1,-7
1,11,1,12,1,-41,0,0,98,12,26,-1,7
1,12,1,-12,-1,41,-5,40,-98,-12,-18,33,7
1,12,1,12,1,-41,5,-40,98,12,18,-33,-7
1,12,1,-12,-1,-7,-4,55,-29,-12,-29,8,0
1,12,1,12,1,7,4,-55,29,12,29,-8,0
1,12,0,-12,-1,41,0,0,-88,-12,-16,14,-1
1,12,0,12,1,-41,0,0,88,12,16,-14,1
1,13,1,-2,-1,-148,-5,15,7,-2,-4,-34,-8
1,13,1,2,1,148,5,-15,-7,2,4,34,8
1,13,0,-2,-1,-47,-26,-69,-52,-2,-26,-69,-7
1,13,0,2,1,47,26,69,52,2,26,69,7
1,13,0,-2,-1,-47,-5,15,-52,-2,-17,-69,-12
1,13,0,2,1,47,5,-15,52,2,17,69,12
1,14,0,-41,-1,-60,0,0,-41,-41,-3,0,4
1,14,0,41,1,60,0,0,41,41,3,0,-4
1,14,0,-41,-1,-60,-21,-84,20,-41,-35,-35,6
1,14,0,41,1,60,21,84,-20,41,35,35,-6
1,14,1,-41,-1,-60,0,0,-21,-29,-11,-26,3
1,14,1,41,1,60,0,0,21,29,11,26,-3
1,15,0,-12,-1,-99,0,0,-20,-12,5,0,2
1,15,0,12,1,99,0,0,20,12,-5,0,-2
1,15,1,-12,-1,-99,-21,-84,0,-12,-23,-35,-1
1,15,1,12,1,99,21,84,0,12,23,35,1
1,15,0,-29,-1,39,0,0,-21,-29,-10,0,5
1,15,0,29,1,-39,0,0,21,29,10,0,-5
1,16,0,-12,-1,-99,0,0,41,-12,17,0,8
1,16,0,12,1,99,0,0,-41,12,-17,0,-8
1,16,0,-12,-1,-99,0,0,-20,-12,8,0,8
1,16,0,12,1,99,0,0,20,12,-8,0,-8
1,16,1,-12,-1,-99,0,0,0,-12,-9,-19,-3
1,16,1,12,1,99,0,0,0,12,9,19,3
1,17,0,-12,-1,-99,0,0,36,-12,7,19,6
1,17,0,12,1,99,0,0,-36,12,-7,-19,-6
1,17,0,-12,-1,-99,0,0,-25,-12,-5,19,5
1,17,0,12,1,99,0,0,25,12,5,-19,-5
1,17,1,-12,-1,-99,0,-8,-5,-12,-16,19,3
1,17,1,12,1,99,0,8,5,12,16,-19,-3
1,19,0,-4,-1,-119,0,0,58,-4,-20,0,4
1,19,0,4,1,119,0,0,-58,4,20,0,-4
1,19,0,-4,-1,-119,0,0,0,-4,-20,0,-2
1,19,0,4,1,119,0,0,0,4,20,0,2
1,19,1,-4,-1,-119,0,0,-41,-4,-28,0,-13
1,19,1,4,1,119,0,0,41,4,28,0,13
1,20,1,-4,-1,-119,0,0,-41,-4,-12,0,1
1,20,1,4,1,119,0,0,41,4,12,0,-1
1,20,0,-4,-1,-119,0,0,-41,-4,-5,0,0
1,20,0,4,1,119,0,0,41,4,5,0,0
1,20,0,-4,-1,-119,0,0,-41,-4,-13,-86,-13
1,20,0,4,1,119,0,0,41,4,13,86,13
1,21,0,-4,-1,-119,0,0,-61,-4,-17,0,-2
1,21,0,4,1,119,0,0,61,4,17,0,2
1,21,1,-4,-1,-119,0,0,-41,-4,-10,0,-4
1,21,1,4,1,119,0,0,41,4,10,0,4
1,21,0,-4,-1,-119,0,0,-41,-4,-18,-86,-14
1,21,0,4,1,119,0,0,41,4,18,86,14
1,22,0,-4,-1,-119,0,0,-61,-4,-19,0,-6
1,22,0,4,1,119,0,0,61,4,19,0,6
1,22,1,-4,-1,-119,0,0,-41,-4,-16,-86,-16
1,22,1,4,1,119,0,0,41,4,16,86,16
1,23,1,-4,-1,-20,0,0,-20,-4,-10,0,3
1,23,1,4,1,20,0,0,20,4,10,0,-3
