PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
1,13,3.1.207,0,458,0,47,207,254,207,0,254,304,-44,62,370,5,3,47,72,254,217,14,916,340
1,14,0.2.188,0,458,0,31,188,219,188,0,219,304,-68,114,394,3,4,88,31,139,105,15,916,315
1,14,1.4.304,0,526,1,84,304,388,304,0,388,388,-97,205,423,5,2,84,222,272,321,15,916,315
1,14,2.4.236,1,458,0,96,236,332,236,0,332,332,-29,137,355,5,2,96,222,251,321,15,916,315
1,14,3.1.207,0,458,0,47,207,254,207,0,254,304,-19,37,345,5,4,47,47,254,217,15,916,315
1,15,0.2.188,1,458,0,31,188,219,188,0,219,332,-68,114,423,3,4,88,31,139,105,16,916,219
1,15,1.4.332,0,458,0,84,332,416,304,28,416,416,0,137,355,5,3,84,126,272,321,16,916,219
1,15,3.1.207,0,458,0,47,207,254,207,0,254,332,-19,37,374,5,4,47,47,254,217,16,916,219
1,16,0.3.304,0,458,0,15,304,319,219,85,319,332,0,150,423,4,4,57,15,139,169,17,916,188
1,16,1.4.332,1,458,0,84,332,416,304,28,416,416,0,137,423,5,3,84,126,272,321,17,916,188
1,16,3.1.207,0,458,0,47,207,254,207,0,254,332,-19,37,442,5,4,47,47,254,217,17,916,188
1,17,0.3.304,1,458,0,15,304,319,219,85,319,416,0,150,423,4,4,57,15,139,169,18,916,104
1,17,3.1.207,0,458,0,47,207,254,207,0,254,416,-19,37,442,5,4,47,47,254,217,18,916,104
1,18,0.4.416,0,458,0,42,416,458,319,97,458,458,0,137,423,5,4,42,42,139,321,19,916,89
1,18,3.1.207,1,458,0,47,207,254,207,0,254,416,-19,37,442,5,4,47,47,254,217,19,916,89
1,19,0.4.416,1,458,0,42,416,458,319,97,458,458,0,137,442,5,4,42,42,139,321,20,916,42
