PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
0,0,-1,-2,0,80,0,0,-2,15,-1,72,0,1,0,0,1
0,0,1,2,0,-80,0,0,2,-15,1,-72,0,1,0,0,1
0,0,-1,-2,0,0,0,0,-2,12,0,68,0,1,0,1,1
0,0,1,2,0,0,0,0,2,-12,0,-68,0,1,0,1,1
0,0,-1,-2,0,0,-15,75,-90,26,-7,68,0,0,0,1,1
0,0,1,2,0,0,15,-75,90,-26,7,-68,0,0,0,1,1
0,0,-1,-1,0,-1,0,0,2,-23,3,-82,-1,1,0,1,1
0,0,1,1,0,1,0,0,-2,23,-3,82,1,1,0,1,1
0,0,-1,-5,1,-7,0,-12,0,8,-3,3,-5,1,1,1,0
0,0,1,5,1,7,0,12,0,-8,3,-3,5,1,1,1,0
0,1,-1,-4,0,-3,0,0,-2,18,1,85,-4,1,0,0,1
0,1,1,4,0,3,0,0,2,-18,-1,-85,4,1,0,0,1
0,1,-1,-4,0,-3,0,0,-2,13,0,77,-4,1,1,1,1
0,1,1,4,0,3,0,0,2,-13,0,-77,4,1,1,1,1
0,1,-1,-4,0,-3,0,0,-2,19,-3,6,-4,1,1,1,1
0,1,1,4,0,3,0,0,2,-19,3,-6,4,1,1,1,1
0,1,-1,-4,1,-3,-13,75,-2,39,-24,84,-3,0,1,1,0
0,1,1,4,1,3,13,-75,2,-39,24,-84,3,0,1,1,0
0,1,-1,-3,0,-2,0,0,2,-10,0,-6,-3,1,1,1,1
0,1,1,3,0,2,0,0,-2,10,0,6,3,1,1,1,1
0,2,-1,-1,1,-80,-80,0,0,1,3,78,0,1,0,0,0
0,2,1,1,1,80,80,0,0,-1,-3,-78,0,1,0,0,0
0,2,-1,-1,1,-3,1,0,0,-2,2,0,-1,1,1,1,0
0,2,1,1,1,3,-1,0,0,2,-2,0,1,1,1,1,0
0,2,-1,-1,1,0,2,3,0,1,11,83,0,1,1,1,0
0,2,1,1,1,0,-2,-3,0,-1,-11,-83,0,1,1,1,0
0,2,-1,-1,1,-80,1,0,0,1,9,78,-1,0,1,1,0
0,2,1,1,1,80,-1,0,0,-1,-9,-78,1,0,1,1,0
0,2,-1,-1,1,-80,-80,0,0,-1,14,86,-1,1,1,1,0
0,2,1,1,1,80,80,0,0,1,-14,-86,1,1,1,1,0
0,12,-1,-84,1,0,0,0,2,0,7,0,-84,1,0,0,0
0,12,1,84,1,0,0,0,-2,0,-7,0,84,1,0,0,0
0,12,-1,-84,1,0,0,0,0,0,0,0,-3,1,0,1,0
0,12,1,84,1,0,0,0,0,0,0,0,3,1,0,1,0
0,12,-1,-84,1,0,0,0,0,1,0,0,-1,1,0,1,0
0,12,1,84,1,0,0,0,0,-1,0,0,1,1,0,1,0
0,12,-1,-84,1,0,-4,0,0,0,0,0,-1,0,0,1,0
0,12,1,84,1,0,4,0,0,0,0,0,1,0,0,1,0
0,20,-1,-2,1,-2,0,0,2,0,1,0,-2,1,0,0,0
0,20,1,2,1,2,0,0,-2,0,-1,0,2,1,0,0,0
0,20,-1,-2,1,-2,-2,0,0,0,1,0,-2,0,0,1,0
0,20,1,2,1,2,2,0,0,0,-1,0,2,0,0,1,0
1,0,-1,-1,0,0,-1,51,-3,-5,0,-26,0,1,1,0,1
1,0,1,1,0,0,1,-51,3,5,0,26,0,1,1,0,1
1,0,-1,-1,0,-23,-2,0,0,-5,-1,-30,-3,1,0,1,1
1,0,1,1,0,23,2,0,0,5,1,30,3,1,0,1,1
1,0,-1,-4,1,-1,-4,-17,-15,-4,2,32,-4,1,1,1,0
1,0,1,4,1,1,4,17,15,4,-2,-32,4,1,1,1,0
1,0,-1,-1,1,48,1,29,16,4,0,-13,1,0,1,1,0
1,0,1,1,1,-48,-1,-29,-16,-4,0,13,-1,0,1,1,0
1,0,-1,-1,0,-48,-3,-9,-6,-12,-5,-17,-1,0,1,1,1
1,0,1,1,0,48,3,9,6,12,5,17,1,0,1,1,1
1,1,-1,-1,0,-47,-34,-51,-49,-9,-4,-18,0,1,1,1,1
1,1,1,1,0,47,34,51,49,9,4,18,0,1,1,1,1
1,1,-1,-1,0,-17,-34,0,-2,-2,0,13,-1,1,1,0,1
1,1,1,1,0,17,34,0,2,2,0,-13,1,1,1,0,1
1,1,-1,-1,0,-27,-34,0,-78,-15,-3,-20,-3,1,0,1,1
1,1,1,1,0,27,34,0,78,15,3,20,3,1,0,1,1
1,1,-1,-1,1,-60,-34,-37,-36,-3,-3,4,0,1,1,1,0
1,1,1,1,1,60,34,37,36,3,3,-4,0,1,1,1,0
1,1,-1,-1,0,-27,-36,-21,-37,-5,-3,-4,3,0,1,1,1
1,1,1,1,0,27,36,21,37,5,3,4,-3,0,1,1,1
1,2,-1,-2,0,50,-25,-1,-1,-1,1,9,-1,1,1,1,1
1,2,1,2,0,-50,25,1,1,1,-1,-9,1,1,1,1,1
1,2,-1,-2,0,49,-25,-21,-2,-3,-2,-14,-1,1,1,0,1
1,2,1,2,0,-49,25,21,2,3,2,14,1,1,1,0,1
1,2,-1,-2,0,15,-25,-21,-68,-4,0,8,-14,1,0,1,1
1,2,1,2,0,-15,25,21,68,4,0,-8,14,1,0,1,1
1,2,-1,-2,1,16,17,-21,-26,1,1,-17,-14,1,1,1,0
1,2,1,2,1,-16,-17,21,26,-1,-1,17,14,1,1,1,0
1,2,-1,-2,0,15,-26,-38,-36,0,0,0,-14,0,1,1,1
1,2,1,2,0,-15,26,38,36,0,0,0,14,0,1,1,1
1,3,-1,-2,0,1,0,-47,-1,-1,0,0,-14,1,1,1,1
1,3,1,2,0,-1,0,47,1,1,0,0,14,1,1,1,1
1,3,-1,-2,0,0,0,0,-2,0,2,2,-16,1,1,0,1
1,3,1,2,0,0,0,0,2,0,-2,-2,16,1,1,0,1
1,3,-1,-2,0,16,0,0,-68,-7,2,2,-16,1,1,1,1
1,3,1,2,0,-16,0,0,68,7,-2,-2,16,1,1,1,1
1,3,-1,-2,0,16,-1,-17,-26,3,2,16,-16,0,1,1,1
1,3,1,2,0,-16,1,17,26,-3,-2,-16,16,0,1,1,1
1,3,-1,-40,1,-27,0,0,26,-3,6,0,-26,1,0,1,0
1,3,1,40,1,27,0,0,-26,3,-6,0,26,1,0,1,0
2,0,-1,-1,0,-1,-1,-2,-4,-5,0,-29,-1,1,0,0,1
2,0,1,1,0,1,1,2,4,5,0,29,1,1,0,0,1
2,0,-1,-1,0,-9,-1,0,28,1,0,1,11,1,0,0,1
2,0,1,1,0,9,1,0,-28,-1,0,-1,-11,1,0,0,1
2,0,-1,-1,0,-6,-1,-1,32,1,1,-25,14,1,0,0,1
2,0,1,1,0,6,1,1,-32,-1,-1,25,-14,1,0,0,1
2,0,-1,-1,0,0,0,7,-32,-2,-1,7,3,0,0,0,1
2,0,1,1,0,0,0,-7,32,2,1,-7,-3,0,0,0,1
2,0,-1,-4,1,3,-1,-8,35,-3,0,1,-18,0,1,1,0
2,0,1,4,1,-3,1,8,-35,3,0,-1,18,0,1,1,0
2,1,-1,-2,0,-5,30,-25,16,-4,0,-5,-2,1,1,1,1
2,1,1,2,0,5,-30,25,-16,4,0,5,2,1,1,1,1
2,1,-1,-2,1,-30,1,-23,12,-5,-2,-26,7,1,1,1,0
2,1,1,2,1,30,-1,23,-12,5,2,26,-7,1,1,1,0
2,1,-1,-2,0,-5,29,-26,3,-1,2,3,4,1,1,1,1
