PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
0,0,-1,-3,0,0,0,-35,56,1,7,69,-36,1,1,0,1
0,0,1,3,0,0,0,35,-56,-1,-7,-69,36,1,1,0,1
0,0,-1,-3,0,0,0,-3,71,-10,8,5,-47,1,1,0,1
0,0,1,3,0,0,0,3,-71,10,-8,-5,47,1,1,0,1
0,0,-1,-20,0,0,-42,11,-56,-12,-6,-61,22,0,1,0,1
0,0,1,20,0,0,42,-11,56,12,6,61,-22,0,1,0,1
0,0,-1,-20,0,5,0,37,83,8,-4,-15,53,1,0,0,1
0,0,1,20,0,-5,0,-37,-83,-8,4,15,-53,1,0,0,1
0,0,-1,-26,1,0,76,-11,0,4,-2,-5,-8,0,1,1,0
0,0,1,26,1,0,-76,11,0,-4,2,5,8,0,1,1,0
0,1,-1,-13,1,12,0,-29,-59,20,7,35,0,1,1,0,0
0,1,1,13,1,-12,0,29,59,-20,-7,-35,0,1,1,0,0
0,1,-1,-13,0,5,0,0,80,16,3,24,0,1,0,0,1
0,1,1,13,0,-5,0,0,-80,-16,-3,-24,0,1,0,0,1
0,1,-1,-13,1,12,119,18,0,6,12,29,0,1,1,1,0
0,1,1,13,1,-12,-119,-18,0,-6,-12,-29,0,1,1,1,0
0,1,-1,-13,1,12,28,-32,0,-2,4,11,0,1,1,1,0
0,1,1,13,1,-12,-28,32,0,2,-4,-11,0,1,1,1,0
0,1,-1,-13,1,12,58,-22,0,29,0,25,33,0,1,1,0
0,1,1,13,1,-12,-58,22,0,-29,0,-25,-33,0,1,1,0
0,2,-1,-22,0,0,-53,10,0,-22,8,-5,-12,0,0,1,1
0,2,1,22,0,0,53,-10,0,22,-8,5,12,0,0,1,1
0,2,-1,-22,0,0,-53,18,-59,-19,-3,-42,-10,0,1,0,1
0,2,1,22,0,0,53,-18,59,19,3,42,10,0,1,0,1
0,2,-1,-22,1,0,-53,-20,0,-38,6,-42,-34,0,1,1,0
0,2,1,22,1,0,53,20,0,38,-6,42,34,0,1,1,0
0,2,-1,-22,0,0,-53,-23,0,-33,10,-19,-34,0,1,1,1
0,2,1,22,0,0,53,23,0,33,-10,19,34,0,1,1,1
0,2,-1,-22,0,-33,-53,18,-139,-50,-3,-61,-34,0,1,1,1
0,2,1,22,0,33,53,-18,139,50,3,61,34,0,1,1,1
0,3,-1,-22,1,0,-53,-2,0,-28,2,7,-34,0,0,1,0
0,3,1,22,1,0,53,2,0,28,-2,-7,34,0,0,1,0
0,3,-1,-22,1,0,-53,20,-59,-12,9,10,-34,0,1,0,0
