PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin
1,0,0.2.0,0,673,4,820,860,758,821,808,69,1113,695
1,0,1.2.0,0,611,1,902,844,742,1002,775,53,943,644
1,0,2.1.0,0,605,0,858,860,742,1002,815,77,1110,656
1,0,3.2.0,1,605,0,896,875,757,1002,804,85,1110,630
1,0,4.3.0,0,666,3,862,860,742,856,817,62,1003,719
1,0,5.3.0,0,617,2,800,786,681,1002,801,54,996,680
1,1,0.2.15,0,668,3,896,875,717,800,813,81,1123,687
1,1,1.2.15,0,605,0,896,859,757,1002,767,65,934,605
1,1,2.1.0,0,605,0,858,875,757,1002,806,72,1093,658
1,1,3.3.15,1,605,0,896,1079,677,828,810,76,1078,669
1,1,4.3.0,0,666,2,862,875,757,856,832,66,1129,708
1,1,5.3.0,0,617,1,800,801,696,1002,806,66,1001,686
1,2,0.2.15,0,668,2,896,1079,721,1040,812,90,1085,687
1,2,1.2.15,0,605,0,896,752,677,828,746,63,906,605
1,2,2.1.0,0,605,0,858,1079,677,858,814,88,1081,630
1,2,3.0.28,1,605,0,896,1079,677,1061,803,83,1093,651
1,2,4.3.28,0,626,1,877,1079,677,922,811,75,1117,670
1,2,5.3.28,0,605,0,896,1079,677,828,792,86,1037,605
1,3,0.2.15,0,668,2,896,1079,721,1061,825,85,1061,694
1,3,1.2.15,1,605,0,896,752,677,826,759,70,990,630
1,3,2.1.0,0,605,0,858,1079,677,866,824,96,1081,635
1,3,3.1.68,0,605,0,896,803,677,1061,815,79,1061,630
1,3,4.3.28,0,626,1,877,1079,677,1061,819,81,1071,630
1,3,5.3.28,0,605,0,896,1079,677,828,801,81,1049,630
1,4,0.2.21,1,605,0,896,752,677,826,779,56,920,639
1,4,1.4.21,0,605,0,896,773,677,826,736,55,907,630
1,4,2.1.0,0,605,0,858,752,677,866,768,63,894,630
1,4,3.1.68,0,605,0,896,752,677,826,762,64,972,605
1,4,4.3.28,0,626,1,877,752,677,922,795,67,987,663
1,4,5.3.28,0,605,0,896,752,677,828,754,68,918,630
1,5,0.0.117,0,693,2,944,752,752,788,760,50,895,693
1,5,1.4.21,0,605,0,896,773,677,826,737,44,886,630
1,5,2.1.0,0,605,0,803,752,677,803,760,55,886,626
1,5,3.1.68,0,605,0,896,752,677,826,766,59,920,630
1,5,4.3.28,0,626,1,877,752,677,864,779,50,898,663
1,5,5.3.28,1,605,0,896,752,677,896,758,60,987,634
1,6,0.0.117,0,693,1,944,752,752,788,773,53,904,694
1,6,1.4.21,1,605,0,896,773,677,896,745,48,886,645
1,6,2.1.0,0,605,0,803,752,677,803,753,49,842,630
1,6,3.1.68,0,605,0,896,752,677,826,766,63,952,662
1,6,4.3.84,0,605,0,843,752,677,896,776,46,872,649
1,6,5.0.84,0,605,0,896,706,639,896,744,60,918,605
1,7,0.0.117,0,693,2,944,752,752,788,759,53,952,693
1,7,1.0.109,0,626,1,769,773,677,769,721,42,849,630
1,7,2.1.0,1,605,0,803,773,677,803,727,61,952,630
1,7,3.1.68,0,605,0,896,773,677,826,738,47,918,630
1,7,4.3.84,0,605,0,843,773,677,896,758,56,886,655
1,7,5.0.84,0,605,0,896,735,639,896,732,56,896,618
