PID,Step,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,0,1,-1,-1,-46,59,0,18,3,-3,1,2
1,0,1,1,1,46,-59,0,-18,-3,3,-1,-2
1,0,0,-1,-1,-43,59,0,12,4,6,-4,3
1,0,0,1,1,43,-59,0,-12,-4,-6,4,-3
1,0,0,-1,-1,52,105,0,2,6,16,4,-1
1,0,0,1,1,-52,-105,0,-2,-6,-16,-4,1
1,0,0,-1,-1,-50,59,-45,56,4,-18,24,-7
1,0,0,1,1,50,-59,45,-56,-4,18,-24,7
1,0,0,-3,-1,53,-59,0,-17,-6,-8,-24,6
1,0,0,3,1,-53,59,0,17,6,8,24,-6
1,1,0,-4,-1,3,-55,48,-13,1,12,30,7
1,1,0,4,1,-3,55,-48,13,-1,-12,-30,-7
1,1,0,-4,-1,-57,-55,0,-19,-3,0,-14,1
1,1,0,4,1,57,55,0,19,3,0,14,-1
1,1,1,-4,-1,50,0,48,-57,1,28,44,8
1,1,1,4,1,-50,0,-48,57,-1,-28,-44,-8
1,1,0,-4,-1,52,0,48,39,2,19,16,1
1,1,0,4,1,-52,0,-48,-39,-2,-19,-16,-1
1,1,0,-4,-1,3,0,3,-61,-3,1,7,8
1,1,0,4,1,-3,0,-3,61,3,-1,-7,-8
1,2,0,-4,-1,-3,-55,48,33,-1,3,-53,-3
1,2,0,4,1,3,55,-48,-33,1,-3,53,3
1,2,0,-4,-1,-53,-55,0,-15,-4,-14,-48,0
1,2,0,4,1,53,55,0,15,4,14,48,0
1,2,0,-4,-1,5,0,48,-57,-1,8,-55,-4
1,2,0,4,1,-5,0,-48,57,1,-8,55,4
1,2,0,-4,-1,39,0,48,37,-1,22,-11,-2
1,2,0,4,1,-39,0,-48,-37,1,-22,11,2
1,2,1,-4,-1,48,0,3,-57,0,-4,-39,2
1,2,1,4,1,-48,0,-3,57,0,4,39,-2
1,3,0,-4,-1,-3,-55,3,91,1,1,-25,-2
1,3,0,4,1,3,55,-3,-91,-1,-1,25,2
1,3,0,-4,-1,52,0,3,-4,-4,4,-9,0
1,3,0,4,1,-52,0,-3,4,4,-4,9,0
1,3,0,-4,-1,0,0,3,42,0,18,25,5
1,3,0,4,1,0,0,-3,-42,0,-18,-25,-5
1,3,1,-4,-1,-3,0,3,-3,-4,12,-1,7
1,3,1,4,1,3,0,-3,3,4,-12,1,-7
1,3,0,-4,-1,48,95,3,-4,-4,-2,-1,3
1,3,0,4,1,-48,-95,-3,4,4,2,1,-3
1,4,0,-4,-1,143,-55,3,-13,-3,-2,-14,2
