PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0.2.0,0,546,3,96,0,96,1,0,307,0,2,1,96,96,1,0,0,0,199,307,1571
1,0,1.2.0,0,500,1,3,0,3,1,0,274,0,2,1,3,3,1,0,0,0,199,274,1571
1,0,2.1.0,0,497,0,96,0,96,1,0,241,0,1,1,96,96,1,0,0,0,383,241,1571
1,0,3.2.0,0,497,0,15,0,15,1,0,220,0,2,1,15,15,1,0,0,0,199,220,1571
1,0,4.3.0,0,520,2,96,0,96,1,0,347,0,3,1,96,96,1,0,0,0,295,347,1571
1,0,5.3.0,1,520,2,56,0,56,1,0,182,0,3,1,56,56,1,0,0,0,295,182,1571
1,1,0.2.0,0,559,2,96,0,96,1,0,307,0,2,1,96,96,2,0,0,0,199,307,1515
1,1,1.2.0,0,520,0,3,0,3,1,0,274,0,2,1,3,56,2,0,0,0,199,274,1515
1,1,2.1.0,0,520,0,96,0,96,1,0,241,0,1,1,96,96,2,0,0,0,383,241,1515
1,1,3.2.0,0,529,1,15,0,15,1,0,220,0,2,1,15,56,2,0,0,0,199,220,1515
1,1,4.3.56,0,520,0,96,56,152,1,0,347,56,3,2,152,152,2,0,0,0,239,347,1515
1,1,5.0.56,1,529,1,34,56,90,2,56,182,0,0,1,90,90,2,-56,56,56,358,126,1515
1,2,0.2.0,0,559,1,96,0,96,1,0,307,0,2,1,96,96,3,0,0,56,199,307,1481
1,2,1.2.0,0,529,0,3,0,3,1,0,274,0,2,1,3,90,3,0,0,56,199,274,1481
1,2,2.1.0,0,529,0,96,0,96,1,0,241,0,1,1,96,96,3,0,0,56,383,241,1481
1,2,3.2.0,0,529,0,15,0,15,1,0,220,0,2,1,15,90,3,0,0,56,199,220,1481
1,2,4.3.56,0,529,0,96,56,152,1,0,347,56,3,2,152,152,3,0,0,56,239,347,1481
1,2,5.4.90,1,529,0,47,90,137,3,90,182,0,4,1,137,137,3,-90,90,146,336,92,1481
1,3,0.2.0,0,559,1,96,0,96,1,0,307,0,2,1,96,137,4,0,0,146,199,307,1434
1,3,1.2.0,0,529,0,3,0,3,1,0,274,0,2,1,3,137,4,0,0,146,199,274,1434
1,3,2.1.0,0,529,0,96,0,96,1,0,241,0,1,1,96,137,4,0,0,146,383,241,1434
1,3,3.2.0,0,529,0,15,0,15,1,0,220,0,2,1,15,137,4,0,0,146,199,220,1434
1,3,4.3.56,0,529,0,96,56,152,1,0,347,56,3,2,152,152,4,0,0,146,239,347,1434
1,3,5.1.137,1,529,0,44,137,181,4,137,182,0,1,1,181,181,4,-137,137,283,383,45,1434
1,4,0.2.0,0,559,1,96,0,96,1,0,307,0,2,1,96,181,5,0,0,283,199,307,1390
1,4,1.2.0,0,529,0,3,0,3,1,0,274,0,2,1,3,181,5,0,0,283,199,274,1390
1,4,2.1.0,0,529,0,96,0,96,1,0,241,0,1,2,181,181,5,96,41,187,339,241,1390
1,4,3.2.0,0,529,0,15,0,15,1,0,220,0,2,1,15,181,5,0,0,283,199,220,1390
1,4,4.3.56,0,529,0,96,56,152,1,0,347,56,3,2,152,181,5,0,0,283,239,347,1390
1,4,5.2.181,1,529,0,1,181,182,5,181,182,0,2,1,182,182,5,-181,181,464,199,1,1390
1,5,0.2.0,0,559,1,96,0,96,1,0,307,0,2,2,182,182,6,96,85,368,198,307,1389
1,5,1.2.0,0,529,0,3,0,3,1,0,274,0,2,2,182,182,6,3,178,461,198,274,1389
1,5,2.1.0,0,529,0,96,0,96,1,0,241,0,1,2,181,182,6,96,41,368,339,241,1389
1,5,3.2.0,1,529,0,15,0,15,1,0,220,0,2,2,182,182,6,15,166,449,198,220,1389
1,5,4.3.56,0,529,0,96,56,152,1,0,347,56,3,2,152,182,6,0,0,464,239,347,1389
1,6,0.2.15,0,546,1,96,15,111,1,0,307,15,2,3,182,182,7,96,70,353,183,307,1374
1,6,1.2.15,0,529,0,3,15,18,1,0,274,15,2,3,182,182,7,3,163,446,183,274,1374
1,6,2.1.0,0,529,0,96,0,96,1,0,241,0,1,2,181,182,7,96,41,353,339,241,1374
1,6,3.3.56,1,529,0,13,56,69,2,15,220,41,3,2,69,182,7,0,0,449,239,205,1374
1,6,4.3.56,0,529,0,96,56,152,1,0,347,56,3,2,152,182,7,0,0,449,239,347,1374
1,7,0.2.15,0,546,1,96,15,111,1,0,307,15,2,3,182,182,8,96,70,353,183,307,1361
1,7,1.2.15,0,529,0,3,15,18,1,0,274,15,2,3,182,182,8,3,163,446,183,274,1361
1,7,2.1.0,0,529,0,96,0,96,1,0,241,0,1,2,181,182,8,96,41,353,339,241,1361
1,7,3.0.90,1,529,0,40,90,130,3,69,220,21,0,2,130,182,8,0,56,449,324,192,1361
1,7,4.3.69,0,529,0,96,69,165,1,0,347,69,3,3,165,182,8,0,0,449,226,347,1361
1,8,0.2.15,0,546,1,96,15,111,1,0,307,15,2,3,182,182,9,96,70,353,183,307,1321
1,8,1.2.15,0,529,0,3,15,18,1,0,274,15,2,3,182,182,9,3,163,446,183,274,1321
1,8,2.1.0,0,529,0,96,0,96,1,0,241,0,1,2,181,182,9,96,41,353,339,241,1321
1,8,3.1.181,1,529,0,72,181,253,4,130,220,51,1,2,253,253,9,0,137,449,339,152,1321
1,8,4.3.69,0,529,0,96,69,165,1,0,347,69,3,3,165,182,9,0,0,449,226,347,1321
1,9,0.2.15,0,546,1,96,15,111,1,0,307,15,2,3,182,253,10,96,70,353,183,307,1249
1,9,1.2.15,0,529,0,3,15,18,1,0,274,15,2,3,182,253,10,3,163,446,183,274,1249
1,9,2.1.0,0,529,0,96,0,96,1,0,241,0,1,3,253,253,10,96,41,353,267,241,1249
