PID,Step,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,2,0,-24,-1,48,-2,-144,31,-24,-24,-2,-1
1,2,0,24,1,-48,2,144,-31,24,24,2,1
1,2,0,-24,-1,30,-56,-144,2,-24,-22,33,9
1,2,0,24,1,-30,56,144,-2,24,22,-33,-9
1,2,0,-24,-1,79,-2,-144,-80,-24,-23,-9,3
1,2,0,24,1,-79,2,144,80,24,23,9,-3
1,2,1,-24,-1,30,13,-144,2,-24,-20,-18,6
1,2,1,24,1,-30,-13,144,-2,24,20,18,-6
1,2,0,-24,-1,57,-2,-144,2,-24,-4,-23,3
1,2,0,24,1,-57,2,144,-2,24,4,23,-3
1,3,0,-24,-1,30,13,-144,31,-24,-32,-37,7
1,3,0,24,1,-30,-13,144,-31,24,32,37,-7
1,3,0,-24,-1,30,-41,-144,2,-24,-30,70,4
1,3,0,24,1,-30,41,144,-2,24,30,-70,-4
1,3,1,-24,-1,79,13,-144,-80,-24,-35,-18,6
1,3,1,24,1,-79,-13,144,80,24,35,18,-6
1,3,0,-24,-1,30,-66,-144,-77,-24,-28,133,10
1,3,0,24,1,-30,66,144,77,24,28,-133,-10
1,3,0,-24,-1,57,13,-144,2,-22,-27,74,10
1,3,0,24,1,-57,-13,144,-2,22,27,-74,-10
1,4,1,-24,-1,-9,13,-144,-131,-24,-31,-3,4
1,4,1,24,1,9,-13,144,131,24,31,3,-4
1,4,0,-24,-1,-9,-41,-144,-160,-24,-34,-20,16
1,4,0,24,1,9,41,144,160,24,34,20,-16
1,4,0,-24,-1,-9,13,-144,-160,-24,-8,9,14
1,4,0,24,1,9,-13,144,160,24,8,-9,-14
1,4,0,-24,-1,-9,-66,-144,-120,-24,-57,-62,-2
1,4,0,24,1,9,66,144,120,24,57,62,2
1,4,0,-24,-1,-151,13,-144,-160,-24,-17,26,8
1,4,0,24,1,151,-13,144,160,24,17,-26,-8
1,5,0,-18,-1,37,-54,-57,-26,-18,-9,-15,-5
1,5,0,18,1,-37,54,57,26,18,9,15,5
1,5,0,-18,-1,37,0,-57,-26,-18,15,-9,6
1,5,0,18,1,-37,0,57,26,18,-15,9,-6
1,5,1,-18,-1,37,-79,-57,4,-18,-14,48,4
1,5,1,18,1,-37,79,57,-4,18,14,-48,-4
1,5,0,-18,-1,-105,0,-57,-26,-18,11,-15,7
1,5,0,18,1,105,0,57,26,18,-11,15,-7
1,5,0,-6,-1,-12,13,-87,-134,-6,-53,-39,-4
