PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,82,1,0,0,0,515,590,5525
1,0,1.1.0,1,905,0,44,0,44,1,0,523,0,1,1,44,44,1,0,0,0,364,523,5525
1,0,2.8.0,0,905,0,97,0,97,1,0,631,0,8,1,97,97,1,0,0,0,681,631,5525
1,0,3.7.0,0,908,1,87,0,87,1,0,499,0,7,1,87,87,1,0,0,0,515,499,5525
1,0,4.6.0,0,905,0,94,0,94,1,0,562,0,6,1,94,94,1,0,0,0,560,562,5525
1,0,5.2.0,0,905,0,44,0,44,1,0,533,0,2,1,44,44,1,0,0,0,534,533,5525
1,0,6.8.0,0,905,0,20,0,20,1,0,507,0,8,1,20,20,1,0,0,0,681,507,5525
1,0,7.8.0,0,905,0,21,0,21,1,0,511,0,8,1,21,21,1,0,0,0,681,511,5525
1,0,8.2.0,0,908,1,99,0,99,1,0,581,0,2,1,99,99,1,0,0,0,534,581,5525
1,0,9.9.0,0,905,0,43,0,43,1,0,588,0,9,1,43,43,1,0,0,0,620,588,5525
1,1,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,82,2,0,0,0,515,590,5481
1,1,1.7.44,0,916,2,53,44,97,2,44,523,0,7,1,97,97,2,-44,44,44,515,479,5481
1,1,2.8.0,0,905,0,97,0,97,1,0,631,0,8,1,97,97,2,0,0,0,681,631,5481
1,1,3.7.0,0,908,1,87,0,87,1,0,499,0,7,1,87,87,2,0,0,0,515,499,5481
1,1,4.6.0,1,905,0,94,0,94,1,0,562,0,6,1,94,94,2,0,0,0,560,562,5481
1,1,5.2.0,0,905,0,44,0,44,1,0,533,0,2,1,44,44,2,0,0,0,534,533,5481
1,1,6.8.0,0,905,0,20,0,20,1,0,507,0,8,1,20,44,2,0,0,0,681,507,5481
1,1,7.8.0,0,905,0,21,0,21,1,0,511,0,8,1,21,44,2,0,0,0,681,511,5481
1,1,8.2.0,0,908,1,99,0,99,1,0,581,0,2,1,99,99,2,0,0,0,534,581,5481
1,1,9.9.0,0,905,0,43,0,43,1,0,588,0,9,1,43,44,2,0,0,0,620,588,5481
1,2,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,94,3,0,0,0,515,590,5387
1,2,1.7.44,0,916,3,53,44,97,2,44,523,0,7,1,97,97,3,-44,44,44,515,479,5387
1,2,2.8.0,1,905,0,97,0,97,1,0,631,0,8,1,97,97,3,0,0,0,681,631,5387
1,2,3.7.0,0,908,2,87,0,87,1,0,499,0,7,1,87,94,3,0,0,0,515,499,5387
1,2,4.3.94,0,907,1,95,94,189,2,94,562,0,3,1,189,189,3,-94,94,94,445,468,5387
1,2,5.2.0,0,905,0,44,0,44,1,0,533,0,2,1,44,94,3,0,0,0,534,533,5387
1,2,6.8.0,0,905,0,20,0,20,1,0,507,0,8,1,20,94,3,0,0,0,681,507,5387
1,2,7.8.0,0,905,0,21,0,21,1,0,511,0,8,1,21,94,3,0,0,0,681,511,5387
1,2,8.2.0,0,908,2,99,0,99,1,0,581,0,2,1,99,99,3,0,0,0,534,581,5387
1,2,9.9.0,0,905,0,43,0,43,1,0,588,0,9,1,43,94,3,0,0,0,620,588,5387
1,3,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,97,4,0,0,0,515,590,5290
1,3,1.7.44,0,916,3,53,44,97,2,44,523,0,7,1,97,97,4,-44,44,44,515,479,5290
1,3,2.5.97,0,916,3,65,97,162,2,97,631,0,5,1,162,162,4,-97,97,97,587,534,5290
1,3,3.7.0,0,909,2,87,0,87,1,0,499,0,7,1,87,97,4,0,0,0,515,499,5290
1,3,4.3.94,0,907,1,95,94,189,2,94,562,0,3,1,189,189,4,-94,94,94,445,468,5290
1,3,5.2.0,0,905,0,44,0,44,1,0,533,0,2,1,44,97,4,0,0,0,534,533,5290
1,3,6.8.97,0,905,0,20,97,117,1,0,507,97,8,2,117,117,4,0,0,0,584,507,5290
1,3,7.8.97,1,905,0,21,97,118,1,0,511,97,8,2,118,118,4,0,0,0,584,511,5290
1,3,8.2.0,0,909,2,99,0,99,1,0,581,0,2,1,99,99,4,0,0,0,534,581,5290
1,3,9.9.0,0,905,0,43,0,43,1,0,588,0,9,1,43,97,4,0,0,0,620,588,5290
1,4,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,118,5,0,0,0,515,590,5269
1,4,1.7.44,0,916,3,53,44,97,2,44,523,0,7,1,97,118,5,-44,44,44,515,479,5269
1,4,2.5.97,0,916,3,65,97,162,2,97,631,0,5,1,162,162,5,-97,97,97,587,534,5269
1,4,3.7.0,0,909,2,87,0,87,1,0,499,0,7,1,87,118,5,0,0,0,515,499,5269
1,4,4.3.94,0,907,1,95,94,189,2,94,562,0,3,1,189,189,5,-94,94,94,445,468,5269
1,4,5.2.0,1,905,0,44,0,44,1,0,533,0,2,1,44,118,5,0,0,0,534,533,5269
1,4,6.8.118,0,905,0,20,118,138,1,0,507,118,8,3,138,138,5,0,0,0,563,507,5269
1,4,7.4.118,0,905,0,49,118,167,2,118,511,0,4,1,167,167,5,-118,118,118,546,490,5269
1,4,8.2.0,0,909,2,99,0,99,1,0,581,0,2,1,99,118,5,0,0,0,534,581,5269
1,4,9.9.0,0,905,0,43,0,43,1,0,588,0,9,1,43,118,5,0,0,0,620,588,5269
1,5,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,118,6,0,0,0,515,590,5225
1,5,1.7.44,0,916,2,53,44,97,2,44,523,0,7,1,97,118,6,-44,44,44,515,479,5225
1,5,2.5.97,0,916,2,65,97,162,2,97,631,0,5,1,162,162,6,-97,97,97,587,534,5225
1,5,3.7.0,0,916,2,87,0,87,1,0,499,0,7,1,87,118,6,0,0,0,515,499,5225
1,5,4.3.94,0,907,1,95,94,189,2,94,562,0,3,1,189,189,6,-94,94,94,445,468,5225
1,5,5.5.44,0,905,0,28,44,72,2,44,533,0,5,1,72,118,6,-44,44,44,587,489,5225
1,5,6.8.118,0,905,0,20,118,138,1,0,507,118,8,3,138,138,6,0,0,0,563,507,5225
1,5,7.4.118,0,905,0,49,118,167,2,118,511,0,4,1,167,167,6,-118,118,118,546,490,5225
1,5,8.2.44,0,916,2,99,44,143,1,0,581,44,2,2,143,143,6,0,0,0,490,581,5225
1,5,9.9.0,1,905,0,43,0,43,1,0,588,0,9,1,43,118,6,0,0,0,620,588,5225
1,6,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,118,7,0,0,0,515,590,5182
1,6,1.7.44,0,916,3,53,44,97,2,44,523,0,7,1,97,118,7,-44,44,44,515,479,5182
1,6,2.5.97,0,916,3,65,97,162,2,97,631,0,5,1,162,162,7,-97,97,97,587,534,5182
1,6,3.7.0,0,916,3,87,0,87,1,0,499,0,7,1,87,118,7,0,0,0,515,499,5182
1,6,4.3.94,0,907,1,95,94,189,2,94,562,0,3,1,189,189,7,-94,94,94,445,468,5182
1,6,5.5.44,0,905,0,28,44,72,2,44,533,0,5,1,72,118,7,-44,44,44,587,489,5182
1,6,6.8.118,0,905,0,20,118,138,1,0,507,118,8,3,138,138,7,0,0,0,563,507,5182
1,6,7.4.118,1,905,0,49,118,167,2,118,511,0,4,1,167,167,7,-118,118,118,546,490,5182
1,6,8.2.44,0,916,3,99,44,143,1,0,581,44,2,2,143,143,7,0,0,0,490,581,5182
1,6,9.5.43,0,915,2,85,43,128,2,43,588,0,5,1,128,128,7,-43,43,43,587,545,5182
1,7,0.7.0,0,905,0,82,0,82,1,0,590,0,7,1,82,167,8,0,0,118,515,590,5133
1,7,1.7.44,0,916,3,53,44,97,2,44,523,0,7,1,97,167,8,-44,44,162,515,479,5133
1,7,2.5.97,0,916,3,65,97,162,2,97,631,0,5,1,162,167,8,-97,97,215,587,534,5133
1,7,3.7.0,1,916,3,87,0,87,1,0,499,0,7,1,87,167,8,0,0,118,515,499,5133
1,7,4.3.94,0,907,1,95,94,189,2,94,562,0,3,1,189,189,8,-94,94,212,445,468,5133
1,7,5.5.44,0,905,0,28,44,72,2,44,533,0,5,1,72,167,8,-44,44,162,587,489,5133
1,7,6.8.118,0,905,0,20,118,138,1,0,507,118,8,3,138,167,8,0,0,118,563,507,5133
1,7,7.9.167,0,923,4,94,167,261,3,167,511,0,9,2,261,261,8,-124,124,242,577,441,5133
1,7,8.2.44,0,916,3,99,44,143,1,0,581,44,2,2,143,167,8,0,0,118,490,581,5133
1,7,9.5.43,0,915,2,85,43,128,2,43,588,0,5,1,128,167,8,-43,43,161,587,545,5133
1,8,0.7.87,0,916,0,82,87,169,1,0,590,87,7,2,169,169,9,0,0,118,428,590,5046
