PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,3,2.0.48,0,508,1,47,48,95,1,0,249,48,0,2,95,142,4,0,0,145,258,249,1365
1,3,3.0.48,0,508,1,49,48,97,1,0,246,48,0,2,97,142,4,0,0,145,258,246,1365
1,3,4.0.48,0,507,0,53,48,101,1,0,260,48,0,2,101,142,4,0,0,145,258,260,1365
1,3,5.3.142,1,507,0,51,142,193,4,142,243,0,3,1,193,193,4,-142,142,287,300,101,1365
1,4,0.0.48,0,517,3,55,48,103,1,0,257,48,0,2,103,193,5,0,0,287,258,257,1314
1,4,1.0.48,0,510,2,54,48,102,1,0,252,48,0,2,102,193,5,0,0,287,258,252,1314
1,4,2.0.48,0,508,1,47,48,95,1,0,249,48,0,2,95,193,5,0,0,287,258,249,1314
1,4,3.0.48,0,508,1,49,48,97,1,0,246,48,0,2,97,193,5,0,0,287,258,246,1314
1,4,4.0.48,0,507,0,53,48,101,1,0,260,48,0,2,101,193,5,0,0,287,258,260,1314
1,4,5.4.193,1,507,0,50,193,243,5,193,243,0,4,1,243,243,5,-193,193,480,304,50,1314
1,5,0.0.48,0,517,3,55,48,103,1,0,257,48,0,2,103,243,6,0,0,480,258,257,1264
1,5,1.0.48,0,510,2,54,48,102,1,0,252,48,0,2,102,243,6,0,0,480,258,252,1264
1,5,2.0.48,0,508,1,47,48,95,1,0,249,48,0,2,95,243,6,0,0,480,258,249,1264
1,5,3.0.48,1,508,1,49,48,97,1,0,246,48,0,2,97,243,6,0,0,480,258,246,1264
1,5,4.0.48,0,507,0,53,48,101,1,0,260,48,0,2,101,243,6,0,0,480,258,260,1264
1,6,0.0.97,0,517,1,55,97,152,1,0,257,97,0,3,152,243,7,0,0,480,209,257,1215
1,6,1.0.97,0,508,0,54,97,151,1,0,252,97,0,3,151,243,7,0,0,480,209,252,1215
1,6,2.0.97,0,508,0,47,97,144,1,0,249,97,0,3,144,243,7,0,0,480,209,249,1215
1,6,3.1.97,1,508,0,52,97,149,2,97,246,0,1,2,149,243,7,0,48,480,259,197,1215
1,6,4.0.97,0,508,0,53,97,150,1,0,260,97,0,3,150,243,7,0,0,480,209,260,1215
1,7,0.0.97,0,517,1,55,97,152,1,0,257,97,0,3,152,243,8,0,0,480,209,257,1163
1,7,1.0.97,0,508,0,54,97,151,1,0,252,97,0,3,151,243,8,0,0,480,209,252,1163
1,7,2.0.97,0,508,0,47,97,144,1,0,249,97,0,3,144,243,8,0,0,480,209,249,1163
1,7,3.2.149,1,508,0,46,149,195,3,149,246,0,2,2,195,243,8,-7,104,487,244,145,1163
1,7,4.0.97,0,508,0,53,97,150,1,0,260,97,0,3,150,243,8,0,0,480,209,260,1163
1,8,0.0.97,0,517,1,55,97,152,1,0,257,97,0,3,152,243,9,0,0,487,209,257,1117
1,8,1.0.97,0,508,0,54,97,151,1,0,252,97,0,3,151,243,9,0,0,487,209,252,1117
1,8,2.0.97,0,508,0,47,97,144,1,0,249,97,0,3,144,243,9,0,0,487,209,249,1117
1,8,3.3.195,1,508,0,46,195,241,4,195,246,0,3,2,241,243,9,-2,144,489,249,99,1117
1,8,4.0.97,0,508,0,53,97,150,1,0,260,97,0,3,150,243,9,0,0,487,209,260,1117
1,9,0.0.97,0,517,1,55,97,152,1,0,257,97,0,3,152,243,10,0,0,489,209,257,1071
1,9,1.0.97,0,508,0,54,97,151,1,0,252,97,0,3,151,243,10,0,0,489,209,252,1071
1,9,2.0.97,0,508,0,47,97,144,1,0,249,97,0,3,144,243,10,0,0,489,209,249,1071
1,9,3.4.243,1,508,0,53,243,296,5,241,246,2,4,2,296,296,10,0,193,489,254,53,1071
1,9,4.0.97,0,508,0,53,97,150,1,0,260,97,0,3,150,243,10,0,0,489,209,260,1071
1,10,0.0.97,0,517,1,55,97,152,1,0,257,97,0,3,152,296,11,0,0,489,209,257,1018
1,10,1.0.97,0,508,0,54,97,151,1,0,252,97,0,3,151,296,11,0,0,489,209,252,1018
1,10,2.0.97,1,508,0,47,97,144,1,0,249,97,0,3,144,296,11,0,0,489,209,249,1018
1,10,4.0.97,0,508,0,53,97,150,1,0,260,97,0,3,150,296,11,0,0,489,209,260,1018
1,11,0.0.144,0,521,2,55,144,199,1,0,257,144,0,4,199,296,12,0,0,489,162,257,971
1,11,1.0.144,0,509,1,54,144,198,1,0,252,144,0,4,198,296,12,0,0,489,162,252,971
1,11,2.1.149,1,508,0,55,149,204,2,144,249,5,1,3,204,296,12,0,48,489,207,202,971
1,11,4.0.144,0,508,0,53,144,197,1,0,260,144,0,4,197,296,12,0,0,489,162,260,971
1,12,0.0.144,0,521,2,55,144,199,1,0,257,144,0,4,199,296,13,0,0,489,162,257,916
1,12,1.0.144,0,509,1,54,144,198,1,0,252,144,0,4,198,296,13,0,0,489,162,252,916
1,12,2.2.204,1,508,0,48,204,252,3,204,249,0,2,3,252,296,13,-9,113,498,198,147,916
1,12,4.0.144,0,508,0,53,144,197,1,0,260,144,0,4,197,296,13,0,0,489,162,260,916
1,13,0.0.144,0,521,2,55,144,199,1,0,257,144,0,4,199,296,14,0,0,498,162,257,868
1,13,1.0.144,0,509,1,54,144,198,1,0,252,144,0,4,198,296,14,0,0,498,162,252,868
1,13,2.3.252,1,508,0,48,252,300,4,252,249,0,3,3,300,300,14,-11,155,509,203,99,868
1,13,4.0.144,0,508,0,53,144,197,1,0,260,144,0,4,197,296,14,0,0,498,162,260,868
1,14,0.0.144,0,521,2,55,144,199,1,0,257,144,0,4,199,300,15,0,0,509,162,257,820
1,14,1.0.144,0,509,1,54,144,198,1,0,252,144,0,4,198,300,15,0,0,509,162,252,820
1,14,2.4.300,1,508,0,51,300,351,5,300,249,0,4,3,351,351,15,-4,197,513,201,51,820
1,14,4.0.144,0,508,0,53,144,197,1,0,260,144,0,4,197,300,15,0,0,509,162,260,820
1,15,0.0.144,0,521,2,55,144,199,1,0,257,144,0,4,199,351,16,0,0,513,162,257,769
1,15,1.0.144,1,509,1,54,144,198,1,0,252,144,0,4,198,351,16,0,0,513,162,252,769
1,15,4.0.144,0,508,0,53,144,197,1,0,260,144,0,4,197,351,16,0,0,513,162,260,769
1,16,0.0.198,0,524,1,55,198,253,1,0,257,198,0,5,253,351,17,0,0,513,108,257,715
1,16,1.1.204,1,509,0,52,204,256,2,198,252,6,1,4,256,351,17,0,48,513,152,198,715
1,16,4.0.198,0,509,0,53,198,251,1,0,260,198,0,5,251,351,17,0,0,513,108,260,715
1,17,0.0.198,0,524,1,55,198,253,1,0,257,198,0,5,253,351,18,0,0,513,108,257,663
1,17,1.2.256,1,509,0,45,256,301,3,256,252,0,2,4,301,351,18,-4,117,517,150,146,663
1,17,4.0.198,0,509,0,53,198,251,1,0,260,198,0,5,251,351,18,0,0,513,108,260,663
1,18,0.0.198,0,524,1,55,198,253,1,0,257,198,0,5,253,351,19,0,0,517,108,257,618
1,18,1.3.301,1,509,0,52,301,353,4,301,252,0,3,4,353,353,19,-1,156,518,155,101,618
1,18,4.0.198,0,509,0,53,198,251,1,0,260,198,0,5,251,351,19,0,0,517,108,260,618
1,19,0.0.198,0,524,1,55,198,253,1,0,257,198,0,5,253,353,20,0,0,518,108,257,566
1,19,1.4.353,1,509,0,49,353,402,5,353,252,0,4,4,402,402,20,-2,199,520,150,49,566
1,19,4.0.198,0,509,0,53,198,251,1,0,260,198,0,5,251,353,20,0,0,518,108,260,566
1,20,0.0.198,1,524,1,55,198,253,1,0,257,198,0,5,253,402,21,0,0,520,108,257,517
1,20,4.0.198,0,509,0,53,198,251,1,0,260,198,0,5,251,402,21,0,0,520,108,260,517
1,21,0.1.256,1,524,0,53,256,309,2,253,257,3,1,5,309,402,22,0,48,520,100,202,462
1,21,4.0.253,0,524,0,53,253,306,1,0,260,253,0,6,306,402,22,0,0,520,53,260,462
1,22,0.2.309,1,524,0,55,309,364,3,309,257,0,2,5,364,402,23,-8,125,528,105,149,409
1,22,4.0.253,0,524,0,53,253,306,1,0,260,253,0,6,306,402,23,0,0,520,53,260,409
1,23,0.3.364,1,524,0,48,364,412,4,364,257,0,3,5,412,412,24,-11,167,539,103,94,354
1,23,4.0.253,0,524,0,53,253,306,1,0,260,253,0,6,306,402,24,0,0,528,53,260,354
1,24,0.4.412,1,524,0,46,412,458,5,412,257,0,4,5,458,458,25,-10,209,549,101,46,306
1,24,4.0.253,0,524,0,53,253,306,1,0,260,253,0,6,306,412,25,0,0,539,53,260,306
1,25,4.0.253,1,524,0,53,253,306,1,0,260,253,0,6,306,458,26,0,0,549,53,260,260
1,26,4.1.309,1,524,0,47,309,356,2,306,260,3,1,6,356,458,27,0,48,549,47,207,207
1,27,4.2.364,1,524,0,50,364,414,3,356,260,8,2,6,414,458,28,0,125,549,50,160,160
1,28,4.3.414,1,524,0,55,414,469,4,414,260,0,3,6,469,469,29,-2,169,551,55,110,110
1,29,4.4.469,1,524,0,55,469,524,5,469,260,0,4,6,524,524,30,-11,220,562,55,55,55
2,0,0.0.0,1,497,0,46,0,46,1,0,239,0,0,1,46,46,1,0,0,0,299,239,1484
2,0,1.0.0,0,500,2,52,0,52,1,0,242,0,0,1,52,52,1,0,0,0,299,242,1484
2,0,2.0.0,0,507,4,52,0,52,1,0,252,0,0,1,52,52,1,0,0,0,299,252,1484
2,0,3.0.0,0,505,3,55,0,55,1,0,254,0,0,1,55,55,1,0,0,0,299,254,1484
2,0,4.0.0,0,498,1,45,0,45,1,0,254,0,0,1,45,45,1,0,0,0,299,254,1484
2,0,5.0.0,0,498,1,49,0,49,1,0,243,0,0,1,49,49,1,0,0,0,299,243,1484
2,1,0.1.46,1,497,0,49,46,95,2,46,239,0,1,1,95,95,2,-46,46,46,298,193,1438
2,1,1.0.46,0,499,1,52,46,98,1,0,242,46,0,2,98,98,2,0,0,0,253,242,1438
2,1,2.0.46,0,504,2,52,46,98,1,0,252,46,0,2,98,98,2,0,0,0,253,252,1438
2,1,3.0.46,0,505,3,55,46,101,1,0,254,46,0,2,101,101,2,0,0,0,253,254,1438
2,1,4.0.46,0,497,0,45,46,91,1,0,254,46,0,2,91,91,2,0,0,0,253,254,1438
2,1,5.0.46,0,497,0,49,46,95,1,0,243,46,0,2,95,95,2,0,0,0,253,243,1438
2,2,0.2.95,1,497,0,45,95,140,3,95,239,0,2,1,140,140,3,-95,95,141,297,144,1389
2,2,1.0.46,0,499,1,52,46,98,1,0,242,46,0,2,98,98,3,0,0,46,253,242,1389
2,2,2.0.46,0,504,2,52,46,98,1,0,252,46,0,2,98,98,3,0,0,46,253,252,1389
2,2,3.0.46,0,505,3,55,46,101,1,0,254,46,0,2,101,101,3,0,0,46,253,254,1389
2,2,4.0.46,0,497,0,45,46,91,1,0,254,46,0,2,91,95,3,0,0,46,253,254,1389
2,2,5.0.46,0,497,0,49,46,95,1,0,243,46,0,2,95,95,3,0,0,46,253,243,1389
2,3,0.3.140,1,497,0,48,140,188,4,140,239,0,3,1,188,188,4,-140,140,281,294,99,1344
2,3,1.0.46,0,499,1,52,46,98,1,0,242,46,0,2,98,140,4,0,0,141,253,242,1344
2,3,2.0.46,0,504,2,52,46,98,1,0,252,46,0,2,98,140,4,0,0,141,253,252,1344
2,3,3.0.46,0,505,3,55,46,101,1,0,254,46,0,2,101,140,4,0,0,141,253,254,1344
2,3,4.0.46,0,497,0,45,46,91,1,0,254,46,0,2,91,140,4,0,0,141,253,254,1344
2,3,5.0.46,0,497,0,49,46,95,1,0,243,46,0,2,95,140,4,0,0,141,253,243,1344
2,4,0.4.188,1,497,0,51,188,239,5,188,239,0,4,1,239,239,5,-188,188,469,296,51,1296
2,4,1.0.46,0,499,1,52,46,98,1,0,242,46,0,2,98,188,5,0,0,281,253,242,1296
2,4,2.0.46,0,504,2,52,46,98,1,0,252,46,0,2,98,188,5,0,0,281,253,252,1296
2,4,3.0.46,0,505,3,55,46,101,1,0,254,46,0,2,101,188,5,0,0,281,253,254,1296
2,4,4.0.46,0,497,0,45,46,91,1,0,254,46,0,2,91,188,5,0,0,281,253,254,1296
2,4,5.0.46,0,497,0,49,46,95,1,0,243,46,0,2,95,188,5,0,0,281,253,243,1296
2,5,1.0.46,1,499,1,52,46,98,1,0,242,46,0,2,98,239,6,0,0,469,253,242,1245
2,5,2.0.46,0,504,2,52,46,98,1,0,252,46,0,2,98,239,6,0,0,469,253,252,1245
2,5,3.0.46,0,505,3,55,46,101,1,0,254,46,0,2,101,239,6,0,0,469,253,254,1245
2,5,4.0.46,0,497,0,45,46,91,1,0,254,46,0,2,91,239,6,0,0,469,253,254,1245
2,5,5.0.46,0,497,0,49,46,95,1,0,243,46,0,2,95,239,6,0,0,469,253,243,1245
2,6,1.1.98,1,499,0,49,98,147,2,98,242,0,1,2,147,239,7,-3,49,472,249,190,1193
