PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
162,8,0,9,1,1,86,87,436,-350,87,6,-436,436,436,4,-4,-166,103,155,-247
162,8,0,-9,-1,3,-162,-159,-162,0,-6,-6,445,-95,-445,-3,1,145,-55,-87,31
162,8,0,9,1,-3,162,159,162,0,6,6,-445,95,445,3,-1,-145,55,87,-31
162,8,0,-9,-1,-2,-187,-189,-187,0,-189,-6,187,-187,-187,-2,0,128,0,-39,0
162,8,0,9,1,2,187,189,187,0,189,6,-187,187,187,2,0,-128,0,39,0
162,8,1,-9,-1,12,-341,-329,-341,0,-329,-6,341,-341,-341,-3,0,158,0,-68,0
162,8,1,9,1,-12,341,329,341,0,329,6,-341,341,341,3,0,-158,0,68,0
162,8,0,-9,-1,-2,-348,-350,-436,88,-350,-6,436,-436,-436,-4,1,264,96,-57,184
162,8,0,9,1,2,348,350,436,-88,350,6,-436,436,436,4,-1,-264,-96,57,-184
162,9,0,-9,-1,-1,-86,-87,-436,350,-87,-6,323,-418,-323,-4,3,166,-85,-155,247
162,9,0,9,1,1,86,87,436,-350,87,6,-323,418,323,4,-3,-166,85,155,-247
162,9,0,-9,-1,3,-162,-159,-162,0,-6,-6,332,-77,-332,-3,0,145,-37,-87,31
162,9,0,9,1,-3,162,159,162,0,6,6,-332,77,332,3,0,-145,37,87,-31
162,9,0,-9,-1,-2,-187,-189,-187,0,-189,-6,187,-187,-187,-2,0,128,0,-39,0
162,9,0,9,1,2,187,189,187,0,189,6,-187,187,187,2,0,-128,0,39,0
162,9,1,-9,-1,72,-323,-251,-323,0,-251,-6,298,-393,-298,-2,0,140,114,-68,184
162,9,1,9,1,-72,323,251,323,0,251,6,-298,393,298,2,0,-140,-114,68,-184
162,9,0,-9,-1,-2,-348,-350,-436,88,-350,-6,323,-418,-323,-4,0,264,114,-57,184
162,9,0,9,1,2,348,350,436,-88,350,6,-323,418,323,4,0,-264,-114,57,-184
162,10,0,-9,-1,-1,-86,-87,-436,350,-87,-6,323,-418,-323,-4,3,166,-85,-155,247
162,10,0,9,1,1,86,87,436,-350,87,6,-323,418,323,4,-3,-166,85,155,-247
162,10,0,-9,-1,3,-162,-159,-162,0,-6,-6,332,-77,-332,-3,0,145,-37,-87,31
162,10,0,9,1,-3,162,159,162,0,6,6,-332,77,332,3,0,-145,37,87,-31
162,10,0,-9,-1,-2,-187,-189,-187,0,-189,-6,187,-187,-187,-2,0,128,0,-39,0
162,10,0,9,1,2,187,189,187,0,189,6,-187,187,187,2,0,-128,0,39,0
162,10,1,-9,-1,41,-245,-204,-245,0,-6,-6,370,-115,-370,-1,0,62,-37,-68,31
162,10,1,9,1,-41,245,204,245,0,6,6,-370,115,370,1,0,-62,37,68,-31
162,10,0,-9,-1,-2,-348,-350,-436,88,-251,-6,327,-397,-327,-4,1,264,36,-57,184
162,10,0,9,1,2,348,350,436,-88,251,6,-327,397,327,4,-1,-264,-36,57,-184
162,11,0,-9,-1,-1,-86,-87,-436,350,-87,-6,323,-418,-323,-4,3,166,-85,-155,247
162,11,0,9,1,1,86,87,436,-350,87,6,-323,418,323,4,-3,-166,85,155,-247
162,11,0,-9,-1,3,-162,-159,-162,0,-6,-6,332,-124,-332,-3,1,145,-84,-87,31
162,11,0,9,1,-3,162,159,162,0,6,6,-332,124,332,3,-1,-145,84,87,-31
162,11,0,-9,-1,-2,-187,-189,-187,0,-189,-6,187,-187,-187,-2,0,128,0,-39,0
162,11,0,9,1,2,187,189,187,0,189,6,-187,187,187,2,0,-128,0,39,0
162,11,1,-9,-1,15,-187,-172,-198,11,-172,-6,323,-304,-323,0,1,15,42,-68,159
162,11,1,9,1,-15,187,172,198,-11,172,6,-323,304,323,0,-1,-15,-42,68,-159
162,11,0,-9,-1,-2,-348,-350,-436,88,-251,-6,327,-397,-327,-4,1,264,36,-57,184
162,11,0,9,1,2,348,350,436,-88,251,6,-327,397,327,4,-1,-264,-36,57,-184
162,12,0,-9,-1,-1,-86,-87,-436,350,-87,-6,323,-418,-323,-4,3,166,-85,-155,247
162,12,0,9,1,1,86,87,436,-350,87,6,-323,418,323,4,-3,-166,85,155,-247
162,12,1,-9,-1,3,-162,-159,-162,0,-6,-6,332,-124,-332,-3,1,145,-84,-87,31
162,12,1,9,1,-3,162,159,162,0,6,6,-332,124,332,3,-1,-145,84,87,-31
162,12,0,-9,-1,-2,-187,-189,-187,0,-189,-6,187,-187,-187,-2,0,128,0,-39,0
162,12,0,9,1,2,187,189,187,0,189,6,-187,187,187,2,0,-128,0,39,0
162,12,0,-9,-1,-2,-348,-350,-436,88,-251,-6,327,-397,-327,-4,1,264,36,-57,184
162,12,0,9,1,2,348,350,436,-88,251,6,-327,397,327,4,-1,-264,-36,57,-184
162,13,0,-9,-1,-1,-86,-87,-436,350,-87,-6,323,-418,-323,-4,3,166,-85,-155,247
162,13,0,9,1,1,86,87,436,-350,87,6,-323,418,323,4,-3,-166,85,155,-247
162,13,1,-9,-1,19,-153,-134,-153,0,-134,-6,231,-301,-231,-2,1,136,36,-87,184
162,13,1,9,1,-19,153,134,153,0,134,6,-231,301,231,2,-1,-136,-36,87,-184
162,13,0,-9,-1,-2,-187,-189,-187,0,-189,-6,187,-187,-187,-2,0,128,0,-39,0
162,13,0,9,1,2,187,189,187,0,189,6,-187,187,187,2,0,-128,0,39,0
162,13,0,-9,-1,-2,-348,-350,-436,88,-251,-6,327,-397,-327,-4,1,264,36,-57,184
162,13,0,9,1,2,348,350,436,-88,251,6,-327,397,327,4,-1,-264,-36,57,-184
162,14,0,-9,-1,-1,-86,-87,-436,350,-87,-6,323,-418,-323,-4,3,166,-85,-155,247
162,14,0,9,1,1,86,87,436,-350,87,6,-323,418,323,4,-3,-166,85,155,-247
162,14,1,-9,-1,48,-128,-80,-128,0,-80,-6,128,-128,-128,-1,0,111,0,-87,0
162,14,1,9,1,-48,128,80,128,0,80,6,-128,128,128,1,0,-111,0,87,0
162,14,0,-9,-1,-2,-187,-189,-187,0,-189,-6,187,-187,-187,-2,0,128,0,-39,0
162,14,0,9,1,2,187,189,187,0,189,6,-187,187,187,2,0,-128,0,39,0
162,14,0,-9,-1,-2,-348,-350,-436,88,-134,-6,327,-305,-327,-4,2,264,11,-57,184
162,14,0,9,1,2,348,350,436,-88,134,6,-327,305,327,4,-2,-264,-11,57,-184
162,15,0,-80,-1,-1,-86,-87,-436,350,-87,-6,74,-364,-74,-4,2,166,-31,-155,247
162,15,0,80,1,1,86,87,436,-350,87,6,-74,364,74,4,-2,-166,31,155,-247
162,15,1,-80,-1,57,-74,-17,-74,0,-17,-6,-18,-158,18,0,1,57,75,-87,159
162,15,1,80,1,-57,74,17,74,0,17,6,18,158,-18,0,-1,-57,-75,87,-159
162,15,0,-80,-1,-2,-187,-189,-187,0,-80,-6,78,-78,-78,-2,0,128,0,-39,0
162,15,0,80,1,2,187,189,187,0,80,6,-78,78,78,2,0,-128,0,39,0
162,15,0,-80,-1,-2,-348,-350,-436,88,-134,-6,78,-251,-78,-4,1,264,65,-57,184
162,15,0,80,1,2,348,350,436,-88,134,6,-78,251,78,4,-1,-264,-65,57,-184
162,16,1,-80,-1,-1,-86,-87,-436,350,-87,-6,74,-364,-74,-4,2,166,-31,-155,247
162,16,1,80,1,1,86,87,436,-350,87,6,-74,364,74,4,-2,-166,31,155,-247
162,16,1,-80,-1,-2,-187,-189,-187,0,-80,-6,78,-78,-78,-2,0,128,0,-39,0
162,16,1,80,1,2,187,189,187,0,80,6,-78,78,78,2,0,-128,0,39,0
162,16,1,-80,-1,-2,-348,-350,-436,88,-134,-6,78,-251,-78,-4,1,264,65,-57,184
162,16,1,80,1,2,348,350,436,-88,134,6,-78,251,78,4,-1,-264,-65,57,-184
162,20,1,-73,-1,-10,-252,-262,-252,0,-73,-14,63,-63,-63,-1,0,113,0,116,0
162,20,1,73,1,10,252,262,252,0,73,14,-63,63,63,1,0,-113,0,-116,0
162,20,1,-73,-1,-10,-413,-423,-501,88,-68,-14,63,-263,-63,-3,1,249,-21,98,184
162,20,1,73,1,10,413,423,501,-88,68,14,-63,263,63,3,-1,-249,21,-98,-184
163,0,1,-3,-1,-49,0,-49,0,0,-49,-49,0,0,0,0,0,-57,0,-57,0
163,0,1,3,1,49,0,49,0,0,49,49,0,0,0,0,0,57,0,57,0
163,0,1,-3,-1,-24,0,-24,0,0,-24,-24,0,0,0,0,0,44,-2,44,-2
163,0,1,3,1,24,0,24,0,0,24,24,0,0,0,0,0,-44,2,-44,2
163,0,1,-3,-1,-25,0,-25,0,0,-25,-25,0,0,0,0,0,-5,-13,-5,-13
163,0,1,3,1,25,0,25,0,0,25,25,0,0,0,0,0,5,13,5,13
163,0,1,-2,-1,60,0,60,0,0,60,60,0,0,0,0,0,34,0,34,0
163,0,1,2,1,-60,0,-60,0,0,-60,-60,0,0,0,0,0,-34,0,-34,0
163,0,0,-9,-1,-16,0,-16,0,0,-16,-16,0,0,0,0,0,22,2,22,2
163,0,0,9,1,16,0,16,0,0,16,16,0,0,0,0,0,-22,-2,-22,-2
163,1,0,-9,-1,39,0,39,-94,94,39,39,94,-94,-94,-1,1,37,-111,-57,-17
163,1,0,9,1,-39,0,-39,94,-94,-39,-39,-94,94,94,1,-1,-37,111,57,17
163,1,1,-9,-1,64,-94,-30,-94,0,-30,-6,94,-94,-94,-1,0,138,-19,44,-19
163,1,1,9,1,-64,94,30,94,0,30,6,-94,94,94,1,0,-138,19,-44,19
163,1,0,-9,-1,63,-94,-31,-94,0,-31,-6,94,-94,-94,-1,0,89,-30,-5,-30
163,1,0,9,1,-63,94,31,94,0,31,6,-94,94,94,1,0,-89,30,5,30
163,1,0,-2,-1,-44,94,50,94,0,50,6,-94,94,94,1,0,-38,19,56,19
163,1,0,2,1,44,-94,-50,-94,0,-50,-6,94,-94,-94,-1,0,38,-19,-56,-19
163,1,0,-5,-1,16,-94,-78,0,-94,-78,-34,0,0,0,0,-1,-22,92,-22,-2
163,1,0,5,1,-16,94,78,0,94,78,34,0,0,0,0,1,22,-92,22,2
163,2,0,-9,-1,39,0,39,-94,94,39,39,94,-94,-94,-1,1,37,-111,-57,-17
163,2,0,9,1,-39,0,-39,94,-94,-39,-39,-94,94,94,1,-1,-37,111,57,17
163,2,0,-9,-1,44,-24,20,-94,70,20,20,94,-94,-94,-1,1,38,-89,-56,-19
163,2,0,9,1,-44,24,-20,94,-70,-20,-20,-94,94,94,1,-1,-38,89,56,19
163,2,1,-9,-1,79,-24,55,-24,0,55,55,24,-24,-24,0,0,68,0,44,0
163,2,1,9,1,-79,24,-55,24,0,-55,-55,-24,24,24,0,0,-68,0,-44,0
163,2,0,-9,-1,63,-94,-31,-94,0,-31,-6,94,-94,-94,-1,0,89,-30,-5,-30
163,2,0,9,1,-63,94,31,94,0,31,6,-94,94,94,1,0,-89,30,5,30
163,2,0,-25,-1,-28,0,-28,94,-94,-28,-28,-94,94,94,1,-1,-60,111,34,17
163,2,0,25,1,28,0,28,-94,94,28,28,94,-94,-94,-1,1,60,-111,-34,-17
163,3,0,-10,-1,25,-61,-36,-155,94,-36,-20,61,-61,-61,-2,0,54,0,-101,0
163,3,0,10,1,-25,61,36,155,-94,36,20,-61,61,61,2,0,-54,0,101,0
163,3,0,-10,-1,30,-85,-55,-155,70,-55,-20,61,-61,-61,-2,0,55,22,-100,-2
163,3,0,10,1,-30,85,55,155,-70,55,20,-61,61,61,2,0,-55,-22,100,2
163,3,1,-10,-1,49,-155,-106,-155,0,-106,-20,61,-61,-61,-2,-1,106,81,-49,-13
163,3,1,10,1,-49,155,106,155,0,106,20,-61,61,61,2,1,-106,-81,49,13
163,3,0,-10,-1,-14,0,-14,-61,61,-14,-14,61,9,-61,-1,0,17,26,-44,17
163,3,0,10,1,14,0,14,61,-61,14,14,-61,-9,61,1,0,-17,-26,44,-17
163,3,0,-24,-1,-14,61,47,155,-94,47,20,-61,61,61,2,0,-77,0,78,0
163,3,0,24,1,14,-61,-47,-155,94,-47,-20,61,-61,-61,-2,0,77,0,-78,0
163,4,0,-10,-1,25,-61,-36,-155,94,-36,-20,61,-61,-61,-2,0,54,0,-101,0
163,4,0,10,1,-25,61,36,155,-94,36,20,-61,61,61,2,0,-54,0,101,0
163,4,0,-10,-1,30,-85,-55,-155,70,-55,-20,61,-61,-61,-2,0,55,22,-100,-2
163,4,0,10,1,-30,85,55,155,-70,55,20,-61,61,61,2,0,-55,-22,100,2
163,4,0,-10,-1,-14,0,-14,-61,61,-14,-14,61,9,-61,-1,0,17,26,-44,17
163,4,0,10,1,14,0,14,61,-61,14,14,-61,-9,61,1,0,-17,-26,44,-17
163,4,0,-24,-1,-14,61,47,155,-94,47,20,-61,61,61,2,0,-77,0,78,0
163,4,0,24,1,14,-61,-47,-155,94,-47,-20,61,-61,-61,-2,0,77,0,-78,0
163,4,1,-2,-1,-25,0,-25,-69,69,-25,0,0,0,0,-1,0,40,0,-29,0
163,4,1,2,1,25,0,25,69,-69,25,0,0,0,0,1,0,-40,0,29,0
163,5,1,-6,-1,5,-83,-78,0,-83,-78,-43,0,0,0,0,-1,1,81,1,-2
163,5,1,6,1,-5,83,78,0,83,78,43,0,0,0,0,1,-1,-81,-1,2
163,5,1,-6,-1,16,-83,-67,0,-83,-67,-32,0,0,0,0,-1,-22,81,-22,-2
163,5,1,6,1,-16,83,67,0,83,67,32,0,0,0,0,1,22,-81,22,2
163,5,0,-6,-1,-25,2,-23,155,-153,-23,-23,-2,2,2,2,0,-54,0,101,0
163,5,0,6,1,25,-2,23,-155,153,23,23,2,-2,-2,-2,0,54,0,-101,0
163,5,0,-6,-1,-17,0,-17,153,-153,-17,-17,-83,83,83,2,-1,-76,81,52,-2
163,5,0,6,1,17,0,17,-153,153,17,17,83,-83,-83,-2,1,76,-81,-52,2
163,5,0,-6,-1,-39,2,-37,94,-92,-37,-37,0,70,0,1,-1,-37,85,57,17
163,5,0,6,1,39,-2,37,-94,92,37,37,0,-70,0,-1,1,37,-85,-57,-17
163,6,1,-6,-1,-6,2,-4,120,-118,-4,-4,0,70,0,1,-1,-49,85,1,17
163,6,1,6,1,6,-2,4,-120,118,4,4,0,-70,0,-1,1,49,-85,-1,-17
163,6,0,-6,-1,5,2,7,120,-118,7,7,0,70,0,1,-1,-72,85,-22,17
163,6,0,6,1,-5,-2,-7,-120,118,-7,-7,0,-70,0,-1,1,72,-85,22,-17
163,6,1,-6,-1,-25,2,-23,155,-153,-23,-23,-2,2,2,2,0,-54,0,101,0
163,6,1,6,1,25,-2,23,-155,153,23,23,2,-2,-2,-2,0,54,0,-101,0
163,6,1,-6,-1,-17,0,-17,153,-153,-17,-17,-33,33,33,2,0,-76,31,52,-2
163,6,1,6,1,17,0,17,-153,153,17,17,33,-33,-33,-2,0,76,-31,-52,2
163,6,1,-6,-1,-39,2,-37,94,-92,-37,-37,0,70,0,1,-1,-37,85,57,17
163,6,1,6,1,39,-2,37,-94,92,37,37,0,-70,0,-1,1,37,-85,-57,-17
163,7,1,-17,-1,-23,0,-23,-198,198,-23,-23,198,-198,-198,-1,3,68,-210,23,-12
163,7,1,17,1,23,0,23,198,-198,23,23,-198,198,198,1,-3,-68,210,-23,12
163,7,1,-17,-1,-18,-43,-61,-78,35,-61,-57,198,-128,-198,0,1,-4,-80,1,5
163,7,1,17,1,18,43,61,78,-35,61,57,-198,128,198,0,-1,4,80,-1,-5
163,7,1,-17,-1,-37,0,-37,-43,43,-37,-37,198,-198,-198,1,3,-9,-210,101,-12
163,7,1,17,1,37,0,37,43,-43,37,37,-198,198,198,-1,-3,9,210,-101,12
163,7,1,-17,-1,-29,-45,-74,-45,0,-74,-57,165,-165,-165,1,2,-31,-134,52,-14
163,7,1,17,1,29,45,74,45,0,74,57,-165,165,165,-1,-2,31,134,-52,14
163,7,1,-17,-1,-51,-43,-94,-104,61,-94,-57,198,-128,-198,0,1,8,-80,57,5
163,7,1,17,1,51,43,94,104,-61,94,57,-198,128,198,0,-1,-8,80,-57,-5
163,15,1,-2,-1,-41,-105,-146,-105,0,-68,-68,206,-119,-206,-1,2,-29,-106,-23,-14
163,15,1,2,1,41,105,146,105,0,68,68,-206,119,206,1,-2,29,106,23,14
163,15,1,-2,-1,-50,-179,-229,-181,2,-229,-68,179,-179,-179,-1,0,0,0,-22,0
163,15,1,2,1,50,179,229,181,-2,229,68,-179,179,179,1,0,0,0,22,0
163,15,1,-2,-1,-48,-202,-250,-279,77,-250,-68,179,-377,-179,-2,3,93,-187,78,-12
163,15,1,2,1,48,202,250,279,-77,250,68,-179,377,179,2,-3,-93,187,-78,12
163,15,1,-2,-1,-40,-281,-321,-281,0,-68,-68,207,-120,-207,-2,2,71,-106,29,-14
163,15,1,2,1,40,281,321,281,0,68,68,-207,120,207,2,-2,-71,106,-29,14
163,15,1,-2,-1,-62,-240,-302,-340,100,-97,-68,185,-252,-185,-3,3,110,-212,34,5
163,15,1,2,1,62,240,302,340,-100,97,68,-185,252,185,3,-3,-110,212,-34,-5
163,23,1,-30,-1,6,58,64,-103,161,34,0,6,-43,-6,-1,0,56,-46,1,25
163,23,1,30,1,-6,-58,-64,103,-161,-34,0,-6,43,6,1,0,-56,46,-1,-25
163,23,0,-30,-1,-6,-162,-168,-262,100,-24,0,-6,-118,6,-3,1,166,-70,57,30
163,23,0,30,1,6,162,168,262,-100,24,0,6,118,-6,3,-1,-166,70,-57,-30
163,24,1,-30,-1,38,76,114,76,0,14,0,-192,-63,192,0,1,38,-26,1,13
163,24,1,30,1,-38,-76,-114,-76,0,-14,0,192,63,-192,0,-1,-38,26,-1,-13
163,24,0,-30,-1,-6,-162,-168,-262,100,-24,0,-6,-118,6,-3,1,166,-70,57,30
163,24,0,30,1,6,162,168,262,-100,24,0,6,118,-6,3,-1,-166,70,-57,-30
163,25,1,-30,-1,-6,-162,-168,-262,100,-24,0,-6,-118,6,-3,1,166,-70,57,30
163,25,1,30,1,6,162,168,262,-100,24,0,6,118,-6,3,-1,-166,70,-57,-30
164,0,1,-11,-1,-53,0,-53,0,0,-53,-53,0,0,0,0,0,18,106,18,106
164,0,1,11,1,53,0,53,0,0,53,53,0,0,0,0,0,-18,-106,-18,-106
164,0,1,-11,-1,-90,0,-90,0,0,-90,-90,0,0,0,0,0,-2,0,-2,0
164,0,1,11,1,90,0,90,0,0,90,90,0,0,0,0,0,2,0,2,0
164,0,1,-11,-1,-22,0,-22,0,0,-22,-22,0,0,0,0,0,63,166,63,166
164,0,1,11,1,22,0,22,0,0,22,22,0,0,0,0,0,-63,-166,-63,-166
