PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1,0,1,-2,-1,-3,0,-3,0,0,-3,-3,0,0,0,0,0,2,0,2,0
1,0,1,2,1,3,0,3,0,0,3,3,0,0,0,0,0,-2,0,-2,0
1,0,1,-2,-1,-2,0,-2,0,0,-2,-2,0,0,0,0,0,3,0,3,0
1,0,1,2,1,2,0,2,0,0,2,2,0,0,0,0,0,-3,0,-3,0
1,0,1,-2,-1,1,0,1,0,0,1,1,0,0,0,0,0,21,0,21,0
1,0,1,2,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,-21,0,-21,0
1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,-5,-1,-5,0,-5,0,0,-5,-5,0,0,0,0,0,-2,0,-2,0
1,0,0,5,1,5,0,5,0,0,5,5,0,0,0,0,0,2,0,2,0
1,1,0,-5,-1,-38,0,-38,92,-92,-38,-38,-92,92,92,1,-1,-92,-118,0,-210
1,1,0,5,1,38,0,38,-92,92,38,38,92,-92,-92,-1,1,92,118,0,210
1,1,0,-5,-1,-3,0,-3,0,0,-3,-3,0,0,0,0,0,2,0,2,0
1,1,0,5,1,3,0,3,0,0,3,3,0,0,0,0,0,-2,0,-2,0
1,1,1,-5,-1,-2,0,-2,0,0,-2,-2,0,0,0,0,0,3,0,3,0
1,1,1,5,1,2,0,2,0,0,2,2,0,0,0,0,0,-3,0,-3,0
1,1,0,-5,-1,1,0,1,0,0,1,1,0,0,0,0,0,21,0,21,0
1,1,0,5,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,-21,0,-21,0
1,1,0,-5,-1,-5,0,-5,0,0,-5,-5,0,0,0,0,0,-2,0,-2,0
1,1,0,5,1,5,0,5,0,0,5,5,0,0,0,0,0,2,0,2,0
1,2,0,-5,-1,-38,-90,-128,92,-182,-128,-92,-92,92,92,1,-2,-92,-28,0,-210
1,2,0,5,1,38,90,128,-92,182,128,92,92,-92,-92,-1,2,92,28,0,210
1,2,0,-5,-1,-3,0,-3,0,0,-3,-3,0,0,0,0,0,2,0,2,0
1,2,0,5,1,3,0,3,0,0,3,3,0,0,0,0,0,-2,0,-2,0
1,2,0,-5,-1,-37,0,-37,182,-182,-37,-37,-182,182,182,1,-2,-87,-28,3,-210
1,2,0,5,1,37,0,37,-182,182,37,37,182,-182,-182,-1,2,87,28,-3,210
1,2,1,-5,-1,1,0,1,0,0,1,1,0,0,0,0,0,21,0,21,0
1,2,1,5,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,-21,0,-21,0
1,2,0,-5,-1,-5,0,-5,0,0,-5,-5,0,0,0,0,0,-2,0,-2,0
1,2,0,5,1,5,0,5,0,0,5,5,0,0,0,0,0,2,0,2,0
1,3,0,-1,-1,-38,-183,-221,92,-275,-221,-92,-92,92,92,1,-3,-92,65,0,-210
1,3,0,1,1,38,183,221,-92,275,221,92,92,-92,-92,-1,3,92,-65,0,210
1,3,0,-1,-1,5,0,5,0,0,5,5,0,0,0,0,0,2,0,2,0
1,3,0,1,1,-5,0,-5,0,0,-5,-5,0,0,0,0,0,-2,0,-2,0
1,3,0,-1,-1,-3,0,-3,0,0,-3,-3,0,0,0,0,0,2,0,2,0
1,3,0,1,1,3,0,3,0,0,3,3,0,0,0,0,0,-2,0,-2,0
1,3,0,-1,-1,-37,-93,-130,182,-275,-130,-92,-182,182,182,1,-3,-87,65,3,-210
1,3,0,1,1,37,93,130,-182,275,130,92,182,-182,-182,-1,3,87,-65,-3,210
1,3,1,-1,-1,-30,0,-30,275,-275,-30,-30,-275,275,275,1,-3,-72,65,21,-210
1,3,1,1,1,30,0,30,-275,275,30,30,275,-275,-275,-1,3,72,-65,-21,210
1,4,1,-1,-1,-38,-183,-221,92,-275,-30,-30,54,221,-54,1,-2,-92,3,0,-210
1,4,1,1,1,38,183,221,-92,275,30,30,-54,-221,54,-1,2,92,-3,0,210
1,4,1,-1,-1,5,0,5,0,0,5,5,0,0,0,0,0,2,0,2,0
1,4,1,1,1,-5,0,-5,0,0,-5,-5,0,0,0,0,0,-2,0,-2,0
1,4,1,-1,-1,-3,0,-3,0,0,-3,-3,0,0,0,0,0,2,0,2,0
1,4,1,1,1,3,0,3,0,0,3,3,0,0,0,0,0,-2,0,-2,0
1,4,1,-1,-1,-37,-93,-130,182,-275,-30,-30,55,220,-55,1,-2,-87,3,3,-210
1,4,1,1,1,37,93,130,-182,275,30,30,-55,-220,55,-1,2,87,-3,-3,210
1,4,1,-1,-1,-19,62,43,337,-275,43,43,-337,337,337,2,-3,-134,135,21,-140
1,4,1,1,1,19,-62,-43,-337,275,-43,-43,337,-337,-337,-2,3,134,-135,-21,140
1,5,0,-4,-1,-43,-275,-318,92,-367,-127,-97,54,221,-54,1,-3,-94,95,-2,-210
1,5,0,4,1,43,275,318,-92,367,127,97,-54,-221,54,-1,3,94,-95,2,210
1,5,0,-4,-1,-8,0,-8,0,0,-8,-8,0,0,0,0,0,0,0,0,0
1,5,0,4,1,8,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0
1,5,0,-4,-1,-41,0,-41,367,-367,-41,-41,-30,305,30,1,-3,-94,95,-2,-210
1,5,0,4,1,41,0,41,-367,367,41,41,30,-305,-30,-1,3,94,-95,2,210
1,5,1,-4,-1,-42,-185,-227,182,-367,-127,-97,55,220,-55,1,-3,-89,95,1,-210
1,5,1,4,1,42,185,227,-182,367,127,97,-55,-220,55,-1,3,89,-95,-1,210
1,5,0,-4,-1,-24,-30,-54,337,-367,-54,-54,-337,337,337,2,-4,-136,227,19,-140
1,5,0,4,1,24,30,54,-337,367,54,54,337,-337,-337,-2,4,136,-227,-19,140
1,6,0,-4,-1,-43,-275,-318,92,-367,-127,-97,54,166,-54,1,-2,-94,40,-2,-210
1,6,0,4,1,43,275,318,-92,367,127,97,-54,-166,54,-1,2,94,-40,2,210
1,6,0,-4,-1,-8,0,-8,0,0,-8,-8,0,0,0,0,0,0,0,0,0
1,6,0,4,1,8,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0
1,6,0,-4,-1,-41,0,-41,367,-367,-41,-41,-30,250,30,1,-2,-94,40,-2,-210
1,6,0,4,1,41,0,41,-367,367,41,41,30,-250,-30,-1,2,94,-40,2,210
1,6,1,-4,-1,-26,-130,-156,237,-367,-156,-97,-237,237,237,2,-4,-144,227,1,-140
1,6,1,4,1,26,130,156,-237,367,156,97,237,-237,-237,-2,4,144,-227,-1,140
1,6,0,-4,-1,-24,-30,-54,337,-367,-54,-54,-337,337,337,2,-4,-136,227,19,-140
1,6,0,4,1,24,30,54,-337,367,54,54,337,-337,-337,-2,4,136,-227,-19,140
1,7,0,-4,-1,-43,-275,-318,92,-367,-127,-97,54,166,-54,1,-2,-94,40,-2,-210
1,7,0,4,1,43,275,318,-92,367,127,97,-54,-166,54,-1,2,94,-40,2,210
1,7,1,-4,-1,-8,0,-8,0,0,-8,-8,0,0,0,0,0,0,0,0,0
1,7,1,4,1,8,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0
1,7,0,-4,-1,-41,0,-41,367,-367,-41,-41,-30,250,30,1,-2,-94,40,-2,-210
1,7,0,4,1,41,0,41,-367,367,41,41,30,-250,-30,-1,2,94,-40,2,210
1,7,0,-4,-1,-7,-59,-66,308,-367,-66,-66,-308,308,308,3,-4,-215,345,1,-22
1,7,0,4,1,7,59,66,-308,367,66,66,308,-308,-308,-3,4,215,-345,-1,22
1,7,0,-4,-1,-24,-30,-54,337,-367,-54,-54,-29,266,29,2,-3,-136,156,19,-140
1,7,0,4,1,24,30,54,-337,367,54,54,29,-266,-29,-2,3,136,-156,-19,140
1,12,0,-82,-1,-16,-346,-362,-346,0,-85,-61,561,-209,-561,-1,2,71,-258,0,-118
1,12,0,82,1,16,346,362,346,0,85,61,-561,209,561,1,-2,-71,258,0,118
1,12,1,-82,-1,12,-36,-24,-492,456,-24,-24,492,-492,-492,-3,5,219,-434,2,22
1,12,1,82,1,-12,36,24,492,-456,24,24,-492,492,492,3,-5,-219,434,-2,-22
1,12,0,-82,-1,-18,24,6,24,0,6,6,468,-116,-468,-1,2,70,-258,2,-118
1,12,0,82,1,18,-24,-6,-24,0,-6,-6,-468,116,468,1,-2,-70,258,-2,118
1,12,0,-82,-1,5,-184,-179,-184,0,-179,-61,184,-184,-184,0,0,4,0,3,0
1,12,0,82,1,-5,184,179,184,0,179,61,-184,184,184,0,0,-4,0,-3,0
1,12,0,-82,-1,-12,-155,-167,-155,0,-85,-61,565,-213,-565,-1,2,83,-258,21,-118
1,12,0,82,1,12,155,167,155,0,85,61,-565,213,565,1,-2,-83,258,-21,118
1,13,0,-82,-1,-16,-346,-362,-346,0,-85,-24,561,-209,-561,-1,2,71,-258,0,-118
1,13,0,82,1,16,346,362,346,0,85,24,-561,209,561,1,-2,-71,258,0,118
1,13,0,-82,-1,-29,61,32,61,0,32,32,455,-226,-455,-2,5,122,-475,2,-188
1,13,0,82,1,29,-61,-32,-61,0,-32,-32,-455,226,455,2,-5,-122,475,-2,188
1,13,0,-82,-1,-18,24,6,24,0,6,6,468,-116,-468,-1,2,70,-258,2,-118
1,13,0,82,1,18,-24,-6,-24,0,-6,-6,-468,116,468,1,-2,-70,258,-2,118
1,13,1,-82,-1,5,-184,-179,-184,0,-179,-24,184,-184,-184,0,0,4,0,3,0
1,13,1,82,1,-5,184,179,184,0,179,24,-184,184,184,0,0,-4,0,-3,0
1,13,0,-82,-1,-12,-155,-167,-155,0,-85,-24,565,-213,-565,-1,2,83,-258,21,-118
1,13,0,82,1,12,155,167,155,0,85,24,-565,213,565,1,-2,-83,258,-21,118
1,14,1,-82,-1,-16,-346,-362,-346,0,-85,-24,163,-119,-163,-1,1,71,-168,0,-118
1,14,1,82,1,16,346,362,346,0,85,24,-163,119,163,1,-1,-71,168,0,118
