PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1,7,0,-2,-1,-24,72,48,192,-120,48,10,-344,248,344,2,-2,-131,154,157,-22
1,7,0,2,1,24,-72,-48,-192,120,-48,-10,344,-248,-344,-2,2,131,-154,-157,22
1,7,0,-2,-1,-31,-176,-207,-152,-24,-207,0,0,-96,0,-1,-1,175,-79,119,-159
1,7,0,2,1,31,176,207,152,24,207,0,0,96,0,1,1,-175,79,-119,159
1,7,0,-2,-1,2,-80,-78,40,-120,-78,0,-96,0,96,0,-1,-25,-79,111,-159
1,7,0,2,1,-2,80,78,-40,120,78,0,96,0,-96,0,1,25,79,-111,159
1,7,0,-2,-1,-19,-176,-195,-152,-24,-195,0,0,-96,0,-1,-1,122,-79,66,-159
1,7,0,2,1,19,176,195,152,24,195,0,0,96,0,1,1,-122,79,-66,159
1,7,1,-2,-1,14,0,14,120,-120,14,0,-176,80,176,1,-1,25,-79,145,-159
1,7,1,2,1,-14,0,-14,-120,120,-14,0,176,-80,-176,-1,1,-25,79,-145,159
1,8,0,-2,-1,-24,72,48,192,-120,48,10,-344,248,344,2,-2,-131,154,157,-22
1,8,0,2,1,24,-72,-48,-192,120,-48,-10,344,-248,-344,-2,2,131,-154,-157,22
1,8,0,-2,-1,-31,-176,-207,-152,-24,14,0,3,77,-3,-1,0,175,-127,119,-159
1,8,0,2,1,31,176,207,152,24,-14,0,-3,-77,3,1,0,-175,127,-119,159
1,8,0,-2,-1,2,-80,-78,40,-120,14,0,36,44,-36,0,0,-25,-127,111,-159
1,8,0,2,1,-2,80,78,-40,120,-14,0,-36,-44,36,0,0,25,127,-111,159
1,8,0,-2,-1,-19,-176,-195,-152,-24,14,0,15,65,-15,-1,0,122,-127,66,-159
1,8,0,2,1,19,176,195,152,24,-14,0,-15,-65,15,1,0,-122,127,-66,159
1,8,1,-2,-1,65,48,113,168,-120,113,75,-320,224,320,2,-2,-23,154,145,-22
1,8,1,2,1,-65,-48,-113,-168,120,-113,-75,320,-224,-320,-2,2,23,-154,-145,22
1,9,0,-2,-1,-24,147,123,192,-45,123,10,0,224,0,2,-1,-131,55,157,-22
1,9,0,2,1,24,-147,-123,-192,45,-123,-10,0,-224,0,-2,1,131,-55,-157,22
1,9,0,-2,-1,-31,-176,-207,-152,-24,14,0,3,77,-3,-1,0,175,-127,119,-159
1,9,0,2,1,31,176,207,152,24,-14,0,-3,-77,3,1,0,-175,127,-119,159
1,9,0,-2,-1,2,-80,-78,40,-120,14,0,36,44,-36,0,0,-25,-127,111,-159
1,9,0,2,1,-2,80,78,-40,120,-14,0,-36,-44,36,0,0,25,127,-111,159
1,9,0,-2,-1,-19,-176,-195,-152,-24,14,0,15,65,-15,-1,0,122,-127,66,-159
1,9,0,2,1,19,176,195,152,24,-14,0,-15,-65,15,1,0,-122,127,-66,159
1,9,1,-74,-1,-14,-147,-161,-267,120,-161,-48,75,21,-75,-3,0,122,-240,-145,-408
1,9,1,74,1,14,147,161,267,-120,161,48,-75,-21,75,3,0,-122,240,145,408
1,13,1,-67,-1,-78,-1,-79,-122,121,-79,-79,0,245,0,0,-1,-50,-184,157,-430
1,13,1,67,1,78,1,79,122,-121,79,79,0,-245,0,0,1,50,184,-157,430
1,13,1,-67,-1,-85,-371,-456,-466,95,-235,-88,3,62,-3,-3,0,256,-355,119,-567
1,13,1,67,1,85,371,456,466,-95,235,88,-3,-62,3,3,0,-256,355,-119,567
1,13,1,-67,-1,-68,-161,-229,-238,77,-229,-88,0,21,0,-1,0,20,-226,111,-408
1,13,1,67,1,68,161,229,238,-77,229,88,0,-21,0,1,0,-20,226,-111,408
1,13,1,-67,-1,-73,-371,-444,-466,95,-235,-88,15,50,-15,-3,0,203,-355,66,-567
1,13,1,67,1,73,371,444,466,-95,235,88,-15,-50,15,3,0,-203,355,-66,567
2,0,1,-27,-1,-38,0,-38,0,0,-38,-38,0,0,0,0,0,-165,6,-165,6
2,0,1,27,1,38,0,38,0,0,38,38,0,0,0,0,0,165,-6,165,-6
2,0,1,-27,-1,-40,0,-40,0,0,-40,-40,0,0,0,0,0,-147,0,-147,0
2,0,1,27,1,40,0,40,0,0,40,40,0,0,0,0,0,147,0,147,0
2,0,1,-27,-1,-46,0,-46,0,0,-46,-46,0,0,0,0,0,-4,-18,-4,-18
2,0,1,27,1,46,0,46,0,0,46,46,0,0,0,0,0,4,18,4,18
2,0,1,-27,-1,-26,0,-26,0,0,-26,-26,0,0,0,0,0,-71,309,-71,309
2,0,1,27,1,26,0,26,0,0,26,26,0,0,0,0,0,71,-309,71,-309
2,0,1,-1,-1,9,0,9,0,0,9,9,0,0,0,0,0,152,-6,152,-6
2,0,1,1,1,-9,0,-9,0,0,-9,-9,0,0,0,0,0,-152,6,-152,6
2,1,1,-1,-1,-29,0,-29,0,0,-29,0,0,0,0,0,0,-13,0,-13,0
2,1,1,1,1,29,0,29,0,0,29,0,0,0,0,0,0,13,0,13,0
2,1,1,-1,-1,-37,0,-37,0,0,-37,0,0,0,0,0,0,148,-24,148,-24
2,1,1,1,1,37,0,37,0,0,37,0,0,0,0,0,0,-148,24,-148,24
2,1,1,-1,-1,-17,0,-17,0,0,-17,0,0,0,0,0,0,81,303,81,303
2,1,1,1,1,17,0,17,0,0,17,0,0,0,0,0,0,-81,-303,-81,-303
2,1,1,-1,-1,-36,48,12,48,0,12,3,-48,48,48,1,0,104,0,152,0
2,1,1,1,1,36,-48,-12,-48,0,-12,-3,48,-48,-48,-1,0,-104,0,-152,0
2,1,1,-7,-1,31,-48,-17,0,-48,-17,-8,0,0,0,0,-1,-5,54,-5,6
2,1,1,7,1,-31,48,17,0,48,17,8,0,0,0,0,1,5,-54,5,-6
2,2,0,-7,-1,2,-9,-7,0,-9,-7,-7,0,0,0,0,0,-18,15,-18,6
2,2,0,7,1,-2,9,7,0,9,7,7,0,0,0,0,0,18,-15,18,-6
2,2,0,-7,-1,-6,-48,-54,0,-48,-54,-8,0,0,0,0,-1,143,30,143,-18
2,2,0,7,1,6,48,54,0,48,54,8,0,0,0,0,1,-143,-30,-143,18
2,2,0,-7,-1,14,-48,-34,0,-48,-34,-8,0,0,0,0,-1,76,357,76,309
2,2,0,7,1,-14,48,34,0,48,34,8,0,0,0,0,1,-76,-357,-76,-309
2,2,1,-7,-1,30,-9,21,39,-48,21,21,-39,39,39,1,-1,-44,49,-5,1
2,2,1,7,1,-30,9,-21,-39,48,-21,-21,39,-39,-39,-1,1,44,-49,5,-1
2,2,0,-5,-1,5,0,5,-48,48,5,5,9,-9,-9,-1,0,-99,-15,-147,-6
2,2,0,5,1,-5,0,-5,48,-48,-5,-5,-9,9,9,1,0,99,15,147,6
2,3,0,-7,-1,2,-9,-7,0,-9,-7,0,0,0,0,0,0,-18,15,-18,6
2,3,0,7,1,-2,9,7,0,9,7,0,0,0,0,0,0,18,-15,18,-6
2,3,0,-7,-1,-6,-48,-54,0,-48,-54,0,0,0,0,0,-1,143,30,143,-18
2,3,0,7,1,6,48,54,0,48,54,0,0,0,0,0,1,-143,-30,-143,18
2,3,0,-7,-1,14,-48,-34,0,-48,-34,0,0,0,0,0,-1,76,357,76,309
2,3,0,7,1,-14,48,34,0,48,34,0,0,0,0,0,1,-76,-357,-76,-309
2,3,0,-5,-1,5,0,5,-48,48,5,0,9,-9,-9,-1,0,-99,-15,-147,-6
2,3,0,5,1,-5,0,-5,48,-48,-5,0,-9,9,9,1,0,99,15,147,6
2,3,1,-15,-1,-51,-29,-80,-29,0,-80,-54,68,-68,-68,-1,1,181,-342,152,-303
2,3,1,15,1,51,29,80,29,0,80,54,-68,68,68,1,-1,-181,342,-152,303
2,15,1,-90,-1,-79,-253,-332,-260,7,-115,-43,179,-137,-179,-2,2,97,-410,-18,-309
2,15,1,90,1,79,253,332,260,-7,115,43,-179,137,179,2,-2,-97,410,18,309
2,15,1,-90,-1,-78,-309,-387,-309,0,-43,-43,180,-1,-180,-3,0,268,-363,143,-327
2,15,1,90,1,78,309,387,309,0,43,43,-180,1,180,3,0,-268,363,-143,327
2,15,1,-90,-1,-77,-260,-337,-261,1,-133,-43,181,-185,-181,-2,2,224,-432,147,-303
2,15,1,90,1,77,260,337,261,-1,133,43,-181,185,181,2,-2,-224,432,-147,303
3,0,0,-12,-1,-9,0,-9,0,0,-9,-9,0,0,0,0,0,-72,0,-72,0
3,0,0,12,1,9,0,9,0,0,9,9,0,0,0,0,0,72,0,72,0
3,0,1,-12,-1,36,0,36,0,0,36,36,0,0,0,0,0,197,-3,197,-3
