PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,10,2.1.0,1,461,0,55,0,55,1,0,249,0,1,3,250,303,11,55,94,497,207,249,1018
1,10,4.3.97,0,461,0,55,97,152,1,0,260,97,3,3,152,303,11,0,0,552,203,260,1018
1,11,0.2.46,0,502,1,55,46,101,1,0,257,46,2,3,243,303,12,55,97,442,198,257,963
1,11,1.2.46,0,461,0,45,46,91,1,0,252,46,2,3,243,303,12,45,107,452,198,252,963
1,11,2.2.55,1,504,2,48,55,103,2,55,249,0,2,3,243,303,12,48,104,449,198,194,963
1,11,4.3.97,0,461,0,55,97,152,1,0,260,97,3,3,152,303,12,0,0,497,203,260,963
1,12,0.2.103,0,510,1,55,103,158,1,0,257,103,2,4,243,303,13,55,49,394,150,257,915
1,12,1.2.103,0,504,0,45,103,148,1,0,252,103,2,4,243,303,13,45,59,404,150,252,915
1,12,2.0.148,1,504,0,47,148,195,3,103,249,45,0,3,195,303,13,0,51,449,209,146,915
1,12,4.3.97,0,504,0,55,97,152,1,0,260,97,3,3,152,303,13,0,0,449,203,260,915
1,13,0.2.103,0,510,1,55,103,158,1,0,257,103,2,4,243,303,14,55,49,394,150,257,868
1,13,1.2.103,0,504,0,45,103,148,1,0,252,103,2,4,243,303,14,45,59,404,150,252,868
1,13,2.4.195,1,510,1,51,195,246,4,195,249,0,4,3,303,303,14,51,149,398,201,99,868
1,13,4.3.97,0,504,0,55,97,152,1,0,260,97,3,3,152,303,14,0,0,449,203,260,868
1,14,0.2.103,0,510,0,55,103,158,1,0,257,103,2,4,243,303,15,55,49,343,150,257,817
1,14,1.2.103,0,553,1,45,103,148,1,0,252,103,2,4,243,303,15,45,59,353,150,252,817
1,14,2.3.246,1,510,0,48,246,294,5,246,249,0,3,3,294,303,15,-149,149,547,203,48,817
1,14,4.3.97,0,510,0,55,97,152,1,0,260,97,3,3,152,303,15,0,0,398,203,260,817
1,15,0.2.103,0,510,0,55,103,158,1,0,257,103,2,4,243,303,16,55,49,492,150,257,769
1,15,1.2.103,1,553,1,45,103,148,1,0,252,103,2,4,243,303,16,45,59,502,150,252,769
1,15,4.3.97,0,510,0,55,97,152,1,0,260,97,3,4,294,303,16,55,94,492,155,260,769
1,16,0.2.243,0,553,0,55,243,298,1,0,257,243,2,5,298,303,17,0,59,502,105,257,724
1,16,1.4.303,1,553,0,49,303,352,2,148,252,155,4,4,352,352,17,0,149,502,150,207,724
1,16,4.3.97,0,553,0,55,97,152,1,0,260,97,3,4,294,303,17,55,94,447,155,260,724
1,17,0.2.243,0,553,0,55,243,298,1,0,257,243,2,5,298,352,18,0,59,502,105,257,675
1,17,1.0.352,1,608,1,54,352,406,3,352,252,0,0,4,406,406,18,-157,208,659,162,158,675
1,17,4.3.97,0,553,0,55,97,152,1,0,260,97,3,4,294,352,18,55,94,447,155,260,675
1,18,0.2.243,0,608,0,55,243,298,1,0,257,243,2,5,298,406,19,0,59,659,105,257,621
1,18,1.1.406,1,608,0,52,406,458,4,406,252,0,1,4,458,458,19,-156,250,815,152,104,621
1,18,4.3.97,0,608,0,55,97,152,1,0,260,97,3,4,294,406,19,55,94,604,155,260,621
1,19,0.2.243,0,608,0,55,243,298,1,0,257,243,2,5,298,458,20,0,59,815,105,257,569
1,19,1.3.458,1,608,0,52,458,510,5,458,252,0,3,4,510,510,20,-164,313,979,155,52,569
1,19,4.3.97,0,608,0,55,97,152,1,0,260,97,3,4,294,458,20,55,94,760,155,260,569
1,20,0.2.243,1,608,0,55,243,298,1,0,257,243,2,5,298,510,21,0,59,979,105,257,517
1,20,4.3.97,0,608,0,55,97,152,1,0,260,97,3,5,510,510,21,55,258,924,103,260,517
1,21,0.0.406,1,608,0,55,406,461,2,298,257,108,0,5,461,510,22,0,208,979,108,202,462
1,21,4.3.97,0,608,0,55,97,152,1,0,260,97,3,5,510,510,22,55,258,924,103,260,462
1,22,0.1.461,1,608,0,53,461,514,3,461,257,0,1,5,514,514,23,-3,253,982,100,147,407
1,22,4.3.97,0,608,0,55,97,152,1,0,260,97,3,5,510,510,23,55,258,924,103,260,407
1,23,0.4.514,1,608,0,46,514,560,4,514,257,0,4,5,560,560,24,-162,311,1144,101,94,354
1,23,4.3.97,0,608,0,55,97,152,1,0,260,97,3,5,510,514,24,55,258,927,103,260,354
1,24,0.3.560,1,608,0,48,560,608,5,560,257,0,3,5,608,608,25,-50,363,1194,103,48,308
1,24,4.3.97,0,608,0,55,97,152,1,0,260,97,3,5,510,560,25,55,258,1089,103,260,308
1,25,4.3.97,1,608,0,55,97,152,1,0,260,97,3,6,608,608,26,55,308,1139,55,260,260
1,26,4.0.195,1,608,0,53,195,248,2,152,260,43,0,6,461,608,27,53,155,1086,53,205,205
1,27,4.2.298,1,608,0,50,298,348,3,248,260,50,2,6,348,608,28,0,59,1086,50,152,152
1,28,4.4.352,1,608,0,55,352,407,4,348,260,4,4,6,560,608,29,55,256,1031,55,102,102
1,29,4.1.514,1,608,0,47,514,561,5,407,260,107,1,6,561,608,30,0,253,1031,47,47,47
2,0,0.0.0,1,413,0,46,0,46,1,0,239,0,0,1,46,46,1,0,0,0,299,239,1484
