PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1501,0,0.6.0,0,741,0,29,0,29,1,0,477,0,6,1,29,29,1,0,0,0,495,477,4799
1501,0,1.2.0,0,752,1,59,0,59,1,0,429,0,2,1,59,59,1,0,0,0,635,429,4799
1501,0,2.5.0,0,741,0,1,0,1,1,0,428,0,5,1,1,1,1,0,0,0,406,428,4799
1501,0,3.2.0,0,755,2,80,0,80,1,0,452,0,2,1,80,80,1,0,0,0,635,452,4799
1501,0,4.5.0,0,771,4,73,0,73,1,0,508,0,5,1,73,73,1,0,0,0,406,508,4799
1501,0,5.0.0,0,741,0,90,0,90,1,0,391,0,0,1,90,90,1,0,0,0,415,391,4799
1501,0,6.7.0,0,741,0,24,0,24,1,0,357,0,7,1,24,24,1,0,0,0,392,357,4799
1501,0,7.2.0,0,741,0,80,0,80,1,0,568,0,2,1,80,80,1,0,0,0,635,568,4799
1501,0,8.4.0,1,741,0,69,0,69,1,0,525,0,4,1,69,69,1,0,0,0,357,525,4799
1501,0,9.6.0,0,760,3,92,0,92,1,0,664,0,6,1,92,92,1,0,0,0,495,664,4799
1501,1,0.6.0,0,741,0,29,0,29,1,0,477,0,6,1,29,69,2,0,0,0,495,477,4730
1501,1,1.2.0,0,752,1,59,0,59,1,0,429,0,2,1,59,69,2,0,0,0,635,429,4730
1501,1,2.5.0,1,741,0,1,0,1,1,0,428,0,5,1,1,69,2,0,0,0,406,428,4730
1501,1,3.2.0,0,755,2,80,0,80,1,0,452,0,2,1,80,80,2,0,0,0,635,452,4730
1501,1,4.5.0,0,771,4,73,0,73,1,0,508,0,5,1,73,73,2,0,0,0,406,508,4730
1501,1,5.0.0,0,741,0,90,0,90,1,0,391,0,0,1,90,90,2,0,0,0,415,391,4730
1501,1,6.7.0,0,741,0,24,0,24,1,0,357,0,7,1,24,69,2,0,0,0,392,357,4730
1501,1,7.2.0,0,741,0,80,0,80,1,0,568,0,2,1,80,80,2,0,0,0,635,568,4730
1501,1,8.7.69,0,741,0,90,69,159,2,69,525,0,7,1,159,159,2,-69,69,69,392,456,4730
1501,1,9.6.0,0,760,3,92,0,92,1,0,664,0,6,1,92,92,2,0,0,0,495,664,4730
1501,2,0.6.0,0,741,0,29,0,29,1,0,477,0,6,1,29,69,3,0,0,0,495,477,4729
1501,2,1.2.0,0,752,1,59,0,59,1,0,429,0,2,1,59,69,3,0,0,0,635,429,4729
1501,2,2.9.1,0,741,0,73,1,74,2,1,428,0,9,1,74,74,3,-1,1,1,516,427,4729
1501,2,3.2.0,0,755,2,80,0,80,1,0,452,0,2,1,80,80,3,0,0,0,635,452,4729
1501,2,4.5.1,0,741,0,73,1,74,1,0,508,1,5,2,74,74,3,0,0,0,405,508,4729
1501,2,5.0.0,0,741,0,90,0,90,1,0,391,0,0,1,90,90,3,0,0,0,415,391,4729
1501,2,6.7.0,1,741,0,24,0,24,1,0,357,0,7,1,24,69,3,0,0,0,392,357,4729
1501,2,7.2.0,0,741,0,80,0,80,1,0,568,0,2,1,80,80,3,0,0,0,635,568,4729
1501,2,8.7.69,0,741,0,90,69,159,2,69,525,0,7,1,159,159,3,-69,69,69,392,456,4729
1501,2,9.6.0,0,760,3,92,0,92,1,0,664,0,6,1,92,92,3,0,0,0,495,664,4729
1501,3,0.6.0,0,741,0,29,0,29,1,0,477,0,6,1,29,69,4,0,0,0,495,477,4705
1501,3,1.2.0,0,752,1,59,0,59,1,0,429,0,2,1,59,69,4,0,0,0,635,429,4705
1501,3,2.9.1,0,741,0,73,1,74,2,1,428,0,9,1,74,74,4,-1,1,1,516,427,4705
1501,3,3.2.0,0,755,2,80,0,80,1,0,452,0,2,1,80,80,4,0,0,0,635,452,4705
1501,3,4.5.1,1,741,0,73,1,74,1,0,508,1,5,2,74,74,4,0,0,0,405,508,4705
1501,3,5.0.0,0,741,0,90,0,90,1,0,391,0,0,1,90,90,4,0,0,0,415,391,4705
1501,3,6.9.24,0,771,4,61,24,85,2,24,357,0,9,1,85,85,4,-24,24,24,516,333,4705
1501,3,7.2.0,0,741,0,80,0,80,1,0,568,0,2,1,80,80,4,0,0,0,635,568,4705
1501,3,8.7.69,0,741,0,90,69,159,2,69,525,0,7,2,159,159,4,-45,45,45,368,456,4705
1501,3,9.6.0,0,760,3,92,0,92,1,0,664,0,6,1,92,92,4,0,0,0,495,664,4705
1501,4,0.6.0,1,741,0,29,0,29,1,0,477,0,6,1,29,74,5,0,0,0,495,477,4632
1501,4,1.2.0,0,752,1,59,0,59,1,0,429,0,2,1,59,74,5,0,0,0,635,429,4632
1501,4,2.9.1,0,741,0,73,1,74,2,1,428,0,9,1,74,74,5,-1,1,1,516,427,4632
1501,4,3.2.0,0,755,2,80,0,80,1,0,452,0,2,1,80,80,5,0,0,0,635,452,4632
1501,4,4.0.74,0,777,5,25,74,99,2,74,508,0,0,1,99,99,5,-74,74,74,415,435,4632
1501,4,5.0.0,0,741,0,90,0,90,1,0,391,0,0,1,90,90,5,0,0,0,415,391,4632
1501,4,6.9.24,0,771,4,61,24,85,2,24,357,0,9,1,85,85,5,-24,24,24,516,333,4632
1501,4,7.2.0,0,741,0,80,0,80,1,0,568,0,2,1,80,80,5,0,0,0,635,568,4632
1501,4,8.7.69,0,741,0,90,69,159,2,69,525,0,7,2,159,159,5,-45,45,45,368,456,4632
1501,4,9.6.0,0,760,3,92,0,92,1,0,664,0,6,1,92,92,5,0,0,0,495,664,4632
1501,5,0.1.29,0,741,0,37,29,66,2,29,477,0,1,1,66,74,6,-29,29,29,569,448,4603
1501,5,1.2.0,0,752,1,59,0,59,1,0,429,0,2,1,59,74,6,0,0,0,635,429,4603
1501,5,2.9.1,0,741,0,73,1,74,2,1,428,0,9,1,74,74,6,-1,1,1,516,427,4603
1501,5,3.2.0,0,755,2,80,0,80,1,0,452,0,2,1,80,80,6,0,0,0,635,452,4603
1501,5,4.0.74,1,785,4,25,74,99,2,74,508,0,0,1,99,99,6,-74,74,74,415,435,4603
1501,5,5.0.0,0,741,0,90,0,90,1,0,391,0,0,1,90,90,6,0,0,0,415,391,4603
1501,5,6.9.24,0,771,3,61,24,85,2,24,357,0,9,1,85,85,6,-24,24,24,516,333,4603
1501,5,7.2.0,0,741,0,80,0,80,1,0,568,0,2,1,80,80,6,0,0,0,635,568,4603
1501,5,8.7.69,0,741,0,90,69,159,2,69,525,0,7,2,159,159,6,-45,45,45,368,456,4603
1501,5,9.6.29,0,741,0,92,29,121,1,0,664,29,6,2,121,121,6,0,0,0,466,664,4603
1501,6,0.1.29,0,785,0,37,29,66,2,29,477,0,1,1,66,99,7,-29,29,103,569,448,4578
1501,6,1.2.0,0,794,1,59,0,59,1,0,429,0,2,1,59,99,7,0,0,74,635,429,4578
1501,6,2.9.1,0,785,0,73,1,74,2,1,428,0,9,1,74,99,7,-1,1,75,516,427,4578
1501,6,3.2.0,0,785,0,80,0,80,1,0,452,0,2,1,80,99,7,0,0,74,635,452,4578
1501,6,4.9.99,0,785,0,8,99,107,3,99,508,0,9,1,107,107,7,-99,99,173,516,410,4578
1501,6,5.0.99,0,798,2,90,99,189,1,0,391,99,0,2,189,189,7,0,74,74,390,391,4578
1501,6,6.9.24,0,798,2,61,24,85,2,24,357,0,9,1,85,99,7,-24,24,98,516,333,4578
1501,6,7.2.0,0,794,1,80,0,80,1,0,568,0,2,1,80,99,7,0,0,74,635,568,4578
1501,6,8.7.69,0,794,1,90,69,159,2,69,525,0,7,2,159,159,7,-45,45,119,368,456,4578
1501,6,9.6.29,1,785,0,92,29,121,1,0,664,29,6,2,121,121,7,0,0,74,466,664,4578
1501,7,0.1.29,0,785,0,37,29,66,2,29,477,0,1,1,66,121,8,-29,29,103,569,448,4486
1501,7,1.2.0,0,794,1,59,0,59,1,0,429,0,2,1,59,121,8,0,0,74,635,429,4486
1501,7,2.9.1,0,785,0,73,1,74,2,1,428,0,9,1,74,121,8,-1,1,75,516,427,4486
1501,7,3.2.0,0,785,0,80,0,80,1,0,452,0,2,1,80,121,8,0,0,74,635,452,4486
1501,7,4.9.99,0,785,0,8,99,107,3,99,508,0,9,1,107,121,8,-99,99,173,516,410,4486
1501,7,5.0.99,0,798,2,90,99,189,1,0,391,99,0,2,189,189,8,0,74,74,390,391,4486
1501,7,6.9.24,0,798,2,61,24,85,2,24,357,0,9,1,85,121,8,-24,24,98,516,333,4486
1501,7,7.2.0,0,794,1,80,0,80,1,0,568,0,2,1,80,121,8,0,0,74,635,568,4486
1501,7,8.7.69,1,794,1,90,69,159,2,69,525,0,7,2,159,159,8,-45,45,119,368,456,4486
1501,7,9.9.121,0,785,0,38,121,159,2,121,664,0,9,1,159,159,8,-121,121,195,516,572,4486
1501,8,0.1.29,0,794,0,37,29,66,2,29,477,0,1,1,66,159,9,-29,29,148,569,448,4396
1501,8,1.2.0,0,794,0,59,0,59,1,0,429,0,2,1,59,159,9,0,0,119,635,429,4396
1501,8,2.9.1,1,794,0,73,1,74,2,1,428,0,9,1,74,159,9,-1,1,120,516,427,4396
