PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
1,0,0.0.0,0,429,0,26,0,26,0,0,26,26,0,0,0,1,1,148,104,148,104,1,975,975
1,0,1.0.0,1,429,0,18,0,18,0,0,18,18,0,0,0,1,1,342,104,342,104,1,975,975
1,0,2.0.0,0,429,0,20,0,20,0,0,20,20,0,0,0,1,1,231,104,231,104,1,975,975
1,0,3.3.0,0,429,0,13,0,13,0,0,13,13,0,0,0,1,1,254,129,254,129,1,975,975
1,1,0.0.18,0,429,0,26,18,44,0,18,44,44,0,0,0,1,2,148,86,148,104,2,975,957
1,1,1.1.18,1,429,0,86,18,104,18,0,104,104,-18,18,18,2,1,324,217,342,217,2,975,957
1,1,2.0.18,0,429,0,20,18,38,0,18,38,38,0,0,0,1,2,231,86,231,104,2,975,957
1,1,3.3.0,0,429,0,13,0,13,0,0,13,18,0,0,0,1,1,254,129,254,129,2,975,957
1,2,0.0.18,0,429,0,26,18,44,0,18,44,104,0,0,18,1,2,148,86,148,104,3,975,871
1,2,1.2.104,0,429,0,86,104,190,104,0,190,190,-104,104,122,3,1,238,204,342,204,3,975,871
1,2,2.0.18,0,429,0,20,18,38,0,18,38,104,0,0,18,1,2,231,86,231,104,3,975,871
1,2,3.3.0,1,429,0,13,0,13,0,0,13,104,0,0,18,1,1,254,129,254,129,3,975,871
1,3,0.0.18,0,429,0,26,18,44,0,18,44,104,0,0,18,1,2,148,86,148,104,4,975,858
1,3,1.2.104,0,429,0,86,104,190,104,0,190,190,-104,104,122,3,1,238,204,342,204,4,975,858
1,3,2.0.18,0,429,0,20,18,38,0,18,38,104,0,0,18,1,2,231,86,231,104,4,975,858
1,3,3.2.13,1,429,0,55,13,68,13,0,68,104,-13,13,31,2,1,241,204,254,204,4,975,858
1,4,0.0.18,0,429,0,26,18,44,0,18,44,104,0,0,31,1,2,148,86,148,104,5,975,803
1,4,1.2.104,0,429,0,86,104,190,104,0,190,190,-36,49,67,3,2,238,149,342,204,5,975,803
1,4,2.0.18,0,429,0,20,18,38,0,18,38,104,0,0,31,1,2,231,86,231,104,5,975,803
1,4,3.0.68,1,429,0,40,68,108,68,0,108,108,-50,50,81,3,2,186,86,254,104,5,975,803
1,5,0.0.18,1,429,0,26,18,44,0,18,108,108,26,24,55,1,3,148,46,148,104,6,975,763
1,5,1.2.104,0,429,0,86,104,190,104,0,190,190,-36,49,117,3,2,238,149,342,204,6,975,763
1,5,2.0.18,0,429,0,20,18,38,0,18,108,108,20,30,61,1,3,231,46,231,104,6,975,763
1,5,3.4.108,0,429,0,99,108,207,108,0,207,207,-108,108,189,4,1,146,321,254,321,6,975,763
1,6,0.1.104,0,429,0,25,104,129,44,60,129,129,0,18,55,2,2,122,131,148,217,7,975,737
1,6,1.2.104,0,429,0,86,104,190,104,0,190,190,-36,49,91,3,2,238,149,342,204,7,975,737
1,6,2.0.44,0,429,0,20,44,64,0,44,108,108,20,4,35,1,4,231,20,231,104,7,975,737
1,6,3.4.108,1,429,0,99,108,207,108,0,207,207,-108,108,163,4,1,146,321,254,321,7,975,737
1,7,0.1.104,0,429,0,25,104,129,44,60,129,207,0,18,163,2,2,122,131,148,217,8,975,638
1,7,1.2.104,0,429,0,86,104,190,104,0,190,207,-36,49,199,3,2,238,149,342,204,8,975,638
1,7,2.0.44,1,429,0,20,44,64,0,44,108,207,20,4,143,1,4,231,20,231,104,8,975,638
1,7,3.1.207,0,429,0,47,207,254,207,0,254,254,-103,121,266,5,2,47,131,254,217,8,975,638
1,8,0.1.104,0,429,0,25,104,129,44,60,129,207,0,18,143,2,2,122,131,148,217,9,975,618
1,8,1.2.104,0,429,0,86,104,190,104,0,190,207,-36,49,179,3,2,238,149,342,204,9,975,618
1,8,2.2.68,1,429,0,23,68,91,64,4,91,207,0,13,143,2,2,211,149,231,204,9,975,618
1,8,3.1.207,0,429,0,47,207,254,207,0,254,254,-103,121,246,5,2,47,131,254,217,9,975,618
1,9,0.1.104,0,429,0,25,104,129,44,60,129,207,0,18,143,2,2,122,131,148,217,10,975,595
1,9,1.2.104,1,429,0,86,104,190,104,0,190,207,-13,26,156,3,3,238,126,342,204,10,975,595
1,9,2.1.104,0,429,0,59,104,163,91,13,163,207,0,18,143,3,2,188,131,231,217,10,975,595
1,9,3.1.207,0,429,0,47,207,254,207,0,254,254,-103,121,246,5,2,47,131,254,217,10,975,595
1,10,0.1.104,0,443,1,25,104,129,44,60,129,207,0,18,156,2,2,122,131,148,217,11,975,509
1,10,1.3.190,1,480,2,68,190,258,190,0,258,258,-177,177,333,4,2,152,116,342,129,11,975,509
