PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
0,8,1,4,1,-79,0,0,4,-5,0,0,4,1,0,0,1
0,8,-1,-1,0,-84,0,0,-1,1,1,0,-1,1,1,1,1
0,8,1,1,0,84,0,0,1,-1,-1,0,1,1,1,1,1
0,9,-1,-4,0,79,-14,73,-4,36,-6,0,-4,0,1,1,0
0,9,1,4,0,-79,14,-73,4,-36,6,0,4,0,1,1,0
0,9,-1,-4,0,79,-14,73,-4,31,-7,1,-4,0,1,1,0
0,9,1,4,0,-79,14,-73,4,-31,7,-1,4,0,1,1,0
0,9,-1,-4,1,79,0,0,-4,14,2,0,0,1,0,0,1
0,9,1,4,1,-79,0,0,4,-14,-2,0,0,1,0,0,1
0,9,-1,-1,0,-84,0,0,-1,-3,-1,0,-1,1,1,1,1
0,9,1,1,0,84,0,0,1,3,1,0,1,1,1,1,1
0,10,-1,-4,0,79,-14,73,-4,45,-11,0,-4,0,1,1,0
0,10,1,4,0,-79,14,-73,4,-45,11,0,4,0,1,1,0
0,10,-1,-4,0,79,-14,73,-4,46,-11,1,-4,0,1,1,0
0,10,1,4,0,-79,14,-73,4,-46,11,-1,4,0,1,1,0
0,10,-1,-1,1,-84,0,0,-1,-4,-1,0,-1,1,0,0,1
0,10,1,1,1,84,0,0,1,4,1,0,1,1,0,0,1
0,11,-1,-4,0,79,-10,73,-4,38,6,0,-4,0,1,1,0
0,11,1,4,0,-79,10,-73,4,-38,-6,0,4,0,1,1,0
0,11,-1,-4,0,79,-10,73,-4,42,9,1,-4,0,1,1,0
0,11,1,4,0,-79,10,-73,4,-42,-9,-1,4,0,1,1,0
0,11,-1,-4,1,79,0,0,-4,14,7,0,-4,1,0,0,1
0,11,1,4,1,-79,0,0,4,-14,-7,0,4,1,0,0,1
0,12,-1,-4,0,79,-10,73,-4,39,12,0,-4,0,1,1,0
0,12,1,4,0,-79,10,-73,4,-39,-12,0,4,0,1,1,0
0,12,-1,-4,0,79,-10,73,-4,36,9,1,-4,0,1,1,0
0,12,1,4,0,-79,10,-73,4,-36,-9,-1,4,0,1,1,0
0,12,-1,-4,1,79,0,0,-4,14,10,0,-4,1,0,0,1
0,12,1,4,1,-79,0,0,4,-14,-10,0,4,1,0,0,1
0,13,-1,-4,0,79,-10,73,-4,37,10,0,-4,0,1,1,0
0,13,1,4,0,-79,10,-73,4,-37,-10,0,4,0,1,1,0
0,13,-1,-4,0,79,-10,73,-4,34,8,1,-4,0,1,1,0
0,13,1,4,0,-79,10,-73,4,-34,-8,-1,4,0,1,1,0
0,13,-1,-4,1,79,0,0,-4,15,8,0,-4,1,0,0,1
0,13,1,4,1,-79,0,0,4,-15,-8,0,4,1,0,0,1
0,14,-1,-4,0,79,-10,73,-4,34,8,0,-4,0,1,1,0
0,14,1,4,0,-79,10,-73,4,-34,-8,0,4,0,1,1,0
0,14,-1,-4,0,79,-10,73,-4,30,6,1,-4,0,1,1,0
0,14,1,4,0,-79,10,-73,4,-30,-6,-1,4,0,1,1,0
0,14,-1,-4,1,79,0,0,-4,14,7,0,-4,1,0,0,1
0,14,1,4,1,-79,0,0,4,-14,-7,0,4,1,0,0,1
0,15,-1,-4,1,79,-10,73,-4,34,2,0,-4,0,0,0,0
0,15,1,4,1,-79,10,-73,4,-34,-2,0,4,0,0,0,0
0,15,-1,-4,0,79,-10,73,-4,46,12,1,-4,0,1,1,0
0,15,1,4,0,-79,10,-73,4,-46,-12,-1,4,0,1,1,0
0,16,-1,-6,1,-6,0,0,-6,7,25,80,-6,1,0,0,1
0,16,1,6,1,6,0,0,6,-7,-25,-80,6,1,0,0,1
0,16,-1,-6,0,-6,-6,-6,-6,20,39,80,-6,0,1,1,0
0,16,1,6,0,6,6,6,6,-20,-39,-80,6,0,1,1,0
0,17,-1,-6,1,-6,0,0,-6,8,27,80,-6,1,0,0,1
0,17,1,6,1,6,0,0,6,-8,-27,-80,6,1,0,0,1
0,17,-1,-6,0,-6,-6,-6,-6,17,38,80,-6,0,1,1,0
0,17,1,6,0,6,6,6,6,-17,-38,-80,6,0,1,1,0
0,18,-1,-6,1,-6,0,0,-6,7,27,80,-6,1,0,0,1
0,18,1,6,1,6,0,0,6,-7,-27,-80,6,1,0,0,1
0,18,-1,-6,0,-6,-6,-6,-6,27,41,80,-6,0,1,1,0
0,18,1,6,0,6,6,6,6,-27,-41,-80,6,0,1,1,0
0,19,-1,-6,1,-6,0,0,-6,13,32,80,-6,1,0,0,1
0,19,1,6,1,6,0,0,6,-13,-32,-80,6,1,0,0,1
0,19,-1,-6,0,-6,-6,-6,-6,24,41,80,-6,0,1,1,0
0,19,1,6,0,6,6,6,6,-24,-41,-80,6,0,1,1,0
0,20,-1,-6,1,-6,-6,-6,-6,22,40,80,-6,0,0,0,0
0,20,1,6,1,6,6,6,6,-22,-40,-80,6,0,0,0,0
1,0,-1,-1,1,0,0,34,-1,7,6,37,-1,1,0,0,1
1,0,1,1,1,0,0,-34,1,-7,-6,-37,1,1,0,0,1
1,0,-1,-2,1,-2,-3,-36,-2,-7,-2,-11,-2,1,0,0,1
1,0,1,2,1,2,3,36,2,7,2,11,2,1,0,0,1
1,0,-1,-2,0,-1,-2,-1,-1,-1,-4,-14,-2,1,1,1,1
1,0,1,2,0,1,2,1,1,1,4,14,2,1,1,1,1
1,0,-1,-3,0,-2,-3,-2,-2,-4,1,-4,-4,1,1,1,1
1,0,1,3,0,2,3,2,2,4,-1,4,4,1,1,1,1
1,0,-1,-1,0,39,-1,0,39,0,0,-11,-4,0,1,1,0
1,0,1,1,0,-39,1,0,-39,0,0,11,4,0,1,1,0
1,1,-1,-2,0,-43,0,27,2,-8,-5,-18,-10,1,1,0,1
1,1,1,2,0,43,0,-27,-2,8,5,18,10,1,1,0,1
1,1,-1,-2,1,-34,0,0,-31,-10,-2,-11,-14,1,0,0,1
1,1,1,2,1,34,0,0,31,10,2,11,14,1,0,0,1
1,1,-1,-2,0,-34,0,32,12,-9,-2,-25,-14,0,1,0,0
1,1,1,2,0,34,0,-32,-12,9,2,25,14,0,1,0,0
1,1,-1,-2,0,-40,0,27,5,-6,-1,5,-14,1,1,0,1
1,1,1,2,0,40,0,-27,-5,6,1,-5,14,1,1,0,1
1,1,-1,-2,0,-42,0,29,3,-8,-4,-12,-12,1,1,0,1
1,1,1,2,0,42,0,-29,-3,8,4,12,12,1,1,0,1
1,2,-1,-2,0,2,0,27,2,1,4,-3,-4,1,1,0,1
1,2,1,2,0,-2,0,-27,-2,-1,-4,3,4,1,1,0,1
1,2,-1,-2,1,-31,0,0,-31,-1,2,-10,-4,1,0,0,0
1,2,1,2,1,31,0,0,31,1,-2,10,4,1,0,0,0
1,2,-1,-2,0,11,0,32,-31,7,2,4,-2,0,1,0,1
1,2,1,2,0,-11,0,-32,31,-7,-2,-4,2,0,1,0,1
1,2,-1,-2,0,5,0,27,5,12,6,23,-4,1,1,0,1
1,2,1,2,0,-5,0,-27,-5,-12,-6,-23,4,1,1,0,1
1,2,-1,-2,0,3,0,29,3,4,2,-6,-4,1,1,0,1
1,2,1,2,0,-3,0,-29,-3,-4,-2,6,4,1,1,0,1
1,3,-1,-2,0,2,0,27,2,-1,1,0,2,1,1,1,1
1,3,1,2,0,-2,0,-27,-2,1,-1,0,-2,1,1,1,1
1,3,-1,-2,1,-31,0,0,-31,3,3,21,-2,1,0,0,1
1,3,1,2,1,31,0,0,31,-3,-3,-21,2,1,0,0,1
